Row ID,Orginal
2096,Quinn wore jeans the next day after being warned it violated the dress code. 
2097,Quinn wore jeans the next day after being warned it violated the dress code. 
2098,Quinn wore jeans the next day after being warned it violated the dress code. 
2099,---------------
2100,Bailey went away for a few weeks with family on a vacation and had a wonderful time on their trip. 
2101,Bailey went away for a few weeks with family on a vacation and had a wonderful time on their trip. 
2102,Bailey went away for a few weeks with family on a vacation and had a wonderful time on their trip. 
2103,---------------
2104,"Carson was trying to study for a big test, so Carson turned Sydney's music down. "
2105,"Carson was trying to study for a big test, so Carson turned Sydney's music down. "
2106,"Carson was trying to study for a big test, so Carson turned Sydney's music down. "
2107,---------------
2108,Robin walked the same route to school with Jan's friends. 
2109,Robin walked the same route to school with Jan's friends. 
2110,Robin walked the same route to school with Jan's friends. 
2111,---------------
2112,Robin went with Jan's friends to the school carnival. 
2113,Robin went with Jan's friends to the school carnival. 
2114,Robin went with Jan's friends to the school carnival. 
2115,---------------
2116,Jesse got the results for the test and got an A as a grade. 
2117,Jesse got the results for the test and got an A as a grade. 
2118,Jesse got the results for the test and got an A as a grade. 
2119,---------------
2120,Robin took the test quickly because they wanted to pass quickly with flying colors. 
2121,Robin took the test quickly because they wanted to pass quickly with flying colors. 
2122,Robin took the test quickly because they wanted to pass quickly with flying colors. 
2123,---------------
2124,Addison had finished a semester of school. They left for home. 
2125,Addison had finished a semester of school. They left for home. 
2126,Addison had finished a semester of school. They left for home. 
2127,---------------
2128,Austin wrapped a belt around the waist of the bull rider. 
2129,Austin wrapped a belt around the waist of the bull rider. 
2130,Austin wrapped a belt around the waist of the bull rider. 
2131,---------------
2132,Tracy took Sydney to school after Sydney missed the school bus this morning. 
2133,Tracy took Sydney to school after Sydney missed the school bus this morning. 
2134,Tracy took Sydney to school after Sydney missed the school bus this morning. 
2135,---------------
2136,Quinn afforded every nice meal after getting a substantial raise at work. 
2137,Quinn afforded every nice meal after getting a substantial raise at work. 
2138,Quinn afforded every nice meal after getting a substantial raise at work. 
2139,---------------
2140,Kendall kept the ball rolling and asked the next contestant a question. 
2141,Kendall kept the ball rolling and asked the next contestant a question. 
2142,Kendall kept the ball rolling and asked the next contestant a question. 
2143,---------------
2144,Quinn murders Remy's wife after Remy stole a lot of money from the family. 
2145,Quinn murders Remy's wife after Remy stole a lot of money from the family. 
2146,Quinn murders Remy's wife after Remy stole a lot of money from the family. 
2147,---------------
2148,Taylor caught their boyfriend sending texts to another girl. 
2149,Taylor caught their boyfriend sending texts to another girl. 
2150,Taylor caught their boyfriend sending texts to another girl. 
2151,---------------
2152,"Riley told her dog Lee to ""stay"" so he didn't follow her down the street. "
2153,"Riley told her dog Lee to ""stay"" so he didn't follow her down the street. "
2154,"Riley told her dog Lee to ""stay"" so he didn't follow her down the street. "
2155,---------------
2156,Kendall bought anything required because they knew that failure wasn't an option. 
2157,Kendall bought anything required because they knew that failure wasn't an option. 
2158,Kendall bought anything required because they knew that failure wasn't an option. 
2159,---------------
2160,"During the speech, Remy gave Casey's interpretation of the situation to the guests. "
2161,"During the speech, Remy gave Casey's interpretation of the situation to the guests. "
2162,"During the speech, Remy gave Casey's interpretation of the situation to the guests. "
2163,---------------
2164,Robin took a very long time to clean the windows of her house. 
2165,Robin took a very long time to clean the windows of her house. 
2166,Robin took a very long time to clean the windows of her house. 
2167,---------------
2168,"Whenever opportunity arises, Riley prefers driving himself to any destination. He just makes sure he studies the map carefully with the aid of the GPS. "
2169,"Whenever opportunity arises, Riley prefers driving himself to any destination. He just makes sure he studies the map carefully with the aid of the GPS. "
2170,"Whenever opportunity arises, Riley prefers driving himself to any destination. He just makes sure he studies the map carefully with the aid of the GPS. "
2171,---------------
2172,Bailey was a fast learner. 
2173,Bailey was a fast learner. 
2174,Bailey was a fast learner. 
2175,---------------
2176,Sasha worked as a nurse and often stepped in and protected patients rights. 
2177,Sasha worked as a nurse and often stepped in and protected patients rights. 
2178,Sasha worked as a nurse and often stepped in and protected patients rights. 
2179,---------------
2180,Jesse ate their cereal and didn't leave any for everyone else. 
2181,Jesse ate their cereal and didn't leave any for everyone else. 
2182,Jesse ate their cereal and didn't leave any for everyone else. 
2183,---------------
2184,"While at summer camp, Remy had a ton of fun and made more friends. "
2185,"While at summer camp, Remy had a ton of fun and made more friends. "
2186,"While at summer camp, Remy had a ton of fun and made more friends. "
2187,---------------
2188,Ash made a mistake but then they redeemed themselves. 
2189,Ash made a mistake but then they redeemed themselves. 
2190,Ash made a mistake but then they redeemed themselves. 
2191,---------------
2192,Alex was wondering how to send the document to Bailey. Bailey told Alex to send the pdf. 
2193,Alex was wondering how to send the document to Bailey. Bailey told Alex to send the pdf. 
2194,Alex was wondering how to send the document to Bailey. Bailey told Alex to send the pdf. 
2195,---------------
2196,Robin left the food so that the cats would have something to eat. 
2197,Robin left the food so that the cats would have something to eat. 
2198,Robin left the food so that the cats would have something to eat. 
2199,---------------
2200,Alex paid attention to the details and answered the trick question on their science exam correctly. 
2201,Alex paid attention to the details and answered the trick question on their science exam correctly. 
2202,Alex paid attention to the details and answered the trick question on their science exam correctly. 
2203,---------------
2204,Ash did know how to react so he accepted Alex's invitation. 
2205,Ash did know how to react so he accepted Alex's invitation. 
2206,Ash did know how to react so he accepted Alex's invitation. 
2207,---------------
2208,Tracy crowded around the group to tell them her funny story. 
2209,Tracy crowded around the group to tell them her funny story. 
2210,Tracy crowded around the group to tell them her funny story. 
2211,---------------
2212,Lee is great on remembering difficult numbers or is he . 
2213,Lee is great on remembering difficult numbers or is he . 
2214,Lee is great on remembering difficult numbers or is he . 
2215,---------------
2216,Jan was new to the neighborhood and went out running one morning. Jan found new friends in the neighborhood on her run. 
2217,Jan was new to the neighborhood and went out running one morning. Jan found new friends in the neighborhood on her run. 
2218,Jan was new to the neighborhood and went out running one morning. Jan found new friends in the neighborhood on her run. 
2219,---------------
2220,Kendall wrapped a bandage around my neck after getting injured in a fight. 
2221,Kendall wrapped a bandage around my neck after getting injured in a fight. 
2222,Kendall wrapped a bandage around my neck after getting injured in a fight. 
2223,---------------
2224,Cameron won last year's race by a nose. This year Cameron trained extra hard for the race. 
2225,Cameron won last year's race by a nose. This year Cameron trained extra hard for the race. 
2226,Cameron won last year's race by a nose. This year Cameron trained extra hard for the race. 
2227,---------------
2228,"Robin had a hard time understanding the concept, so she let Carson explain it more thoroughly. "
2229,"Robin had a hard time understanding the concept, so she let Carson explain it more thoroughly. "
2230,"Robin had a hard time understanding the concept, so she let Carson explain it more thoroughly. "
2231,---------------
2232,Jesse used Kendall's phone even after Kendall said they did not have permission to. 
2233,Jesse used Kendall's phone even after Kendall said they did not have permission to. 
2234,Jesse used Kendall's phone even after Kendall said they did not have permission to. 
2235,---------------
2236,Kai was thirteen and had outgrown their shoes over the past year. 
2237,Kai was thirteen and had outgrown their shoes over the past year. 
2238,Kai was thirteen and had outgrown their shoes over the past year. 
2239,---------------
2240,Jesse lived with their wife in a tiny apartment and really wanted to adopt some kids. 
2241,Jesse lived with their wife in a tiny apartment and really wanted to adopt some kids. 
2242,Jesse lived with their wife in a tiny apartment and really wanted to adopt some kids. 
2243,---------------
2244,Kai grabbed Carson's tools and put them away because Carson was too lazy to do it themselves. 
2245,Kai grabbed Carson's tools and put them away because Carson was too lazy to do it themselves. 
2246,Kai grabbed Carson's tools and put them away because Carson was too lazy to do it themselves. 
2247,---------------
2248,Cameron took Carson away for a long time after the death of his mother. 
2249,Cameron took Carson away for a long time after the death of his mother. 
2250,Cameron took Carson away for a long time after the death of his mother. 
2251,---------------
2252,"After accidentally spilling water on his jeans, Jesse went too far when he yelled at his brother. "
2253,"After accidentally spilling water on his jeans, Jesse went too far when he yelled at his brother. "
2254,"After accidentally spilling water on his jeans, Jesse went too far when he yelled at his brother. "
2255,---------------
2256,Lee touched a nerve is his wife we he complained about her cooking. 
2257,Lee touched a nerve is his wife we he complained about her cooking. 
2258,Lee touched a nerve is his wife we he complained about her cooking. 
2259,---------------
2260,Tracy wore Sydney's jacket to school without asking for permission. 
2261,Tracy wore Sydney's jacket to school without asking for permission. 
2262,Tracy wore Sydney's jacket to school without asking for permission. 
2263,---------------
2264,Sasha improved Jordan's status and he received a promotion because of it. 
2265,Sasha improved Jordan's status and he received a promotion because of it. 
2266,Sasha improved Jordan's status and he received a promotion because of it. 
2267,---------------
2268,Robin held her breath underwater in the pool. 
2269,Robin held her breath underwater in the pool. 
2270,Robin held her breath underwater in the pool. 
2271,---------------
2272,Sydney provided Aubrey an estimate of the price for building the house. 
2273,Sydney provided Aubrey an estimate of the price for building the house. 
2274,Sydney provided Aubrey an estimate of the price for building the house. 
2275,---------------
2276,"Jordan always.wanted to help people, so he decided to study medice to work in a hospital. "
2277,"Jordan always.wanted to help people, so he decided to study medice to work in a hospital. "
2278,"Jordan always.wanted to help people, so he decided to study medice to work in a hospital. "
2279,---------------
2280,Jordan ran quickly to the store down the street. 
2281,Jordan ran quickly to the store down the street. 
2282,Jordan ran quickly to the store down the street. 
2283,---------------
