Row ID,Orginal
5240,Quinn saw their dog get hit by a car. They cried their eyes out. 
5241,Quinn saw their dog get hit by a car. They cried their eyes out. 
5242,Quinn saw their dog get hit by a car. They cried their eyes out. 
5243,---------------
5244,Aubrey took vitamins during those years and showed others how vitamins can keep on healthy. 
5245,Aubrey took vitamins during those years and showed others how vitamins can keep on healthy. 
5246,Aubrey took vitamins during those years and showed others how vitamins can keep on healthy. 
5247,---------------
5248,robin wrapped their arms around Ash's shoulders and went in for a kiss. 
5249,robin wrapped their arms around Ash's shoulders and went in for a kiss. 
5250,robin wrapped their arms around Ash's shoulders and went in for a kiss. 
5251,---------------
5252,Jesse went to the zoo with people from church. They saw all the animals in the zoo. 
5253,Jesse went to the zoo with people from church. They saw all the animals in the zoo. 
5254,Jesse went to the zoo with people from church. They saw all the animals in the zoo. 
5255,---------------
5256,Jan went to work on the morning of the party because she was called in. 
5257,Jan went to work on the morning of the party because she was called in. 
5258,Jan went to work on the morning of the party because she was called in. 
5259,---------------
5260,Carson was in the movie. Carson played a soldier in the war. 
5261,Carson was in the movie. Carson played a soldier in the war. 
5262,Carson was in the movie. Carson played a soldier in the war. 
5263,---------------
5264,"Aubrey was used to their hometown,but now they lived in Carson's environment. "
5265,"Aubrey was used to their hometown,but now they lived in Carson's environment. "
5266,"Aubrey was used to their hometown,but now they lived in Carson's environment. "
5267,---------------
5268,Robin's plane just landed so Cameron picked them up from the airport. 
5269,Robin's plane just landed so Cameron picked them up from the airport. 
5270,Robin's plane just landed so Cameron picked them up from the airport. 
5271,---------------
5272,Alex heard that smoking reduces one's lifespan. They gave up smoking cigarettes. 
5273,Alex heard that smoking reduces one's lifespan. They gave up smoking cigarettes. 
5274,Alex heard that smoking reduces one's lifespan. They gave up smoking cigarettes. 
5275,---------------
5276,Skylar was always assigned to watch the students are recess but today he and the students had recess in the gym. 
5277,Skylar was always assigned to watch the students are recess but today he and the students had recess in the gym. 
5278,Skylar was always assigned to watch the students are recess but today he and the students had recess in the gym. 
5279,---------------
5280,Sydney set Skylar near the edge of the Canyon so she could take a picture. 
5281,Sydney set Skylar near the edge of the Canyon so she could take a picture. 
5282,Sydney set Skylar near the edge of the Canyon so she could take a picture. 
5283,---------------
5284,Ash accepted Alex's invitation to the wedding at the park. 
5285,Ash accepted Alex's invitation to the wedding at the park. 
5286,Ash accepted Alex's invitation to the wedding at the park. 
5287,---------------
5288,Austin thought that they could settle it by challenging Remy to a game. 
5289,Austin thought that they could settle it by challenging Remy to a game. 
5290,Austin thought that they could settle it by challenging Remy to a game. 
5291,---------------
5292,Jordon made light of my ailment of a broken ankle. 
5293,Jordon made light of my ailment of a broken ankle. 
5294,Jordon made light of my ailment of a broken ankle. 
5295,---------------
5296,"Bailey's parents were out of town, so Bailey stayed at a friend's house for the night. "
5297,"Bailey's parents were out of town, so Bailey stayed at a friend's house for the night. "
5298,"Bailey's parents were out of town, so Bailey stayed at a friend's house for the night. "
5299,---------------
5300,Sash improved Jordan's status with the teacher when they told them what really happened. 
5301,Sash improved Jordan's status with the teacher when they told them what really happened. 
5302,Sash improved Jordan's status with the teacher when they told them what really happened. 
5303,---------------
5304,Jordan tried to joke to his kids about their their car breaking down on a roadtrip. 
5305,Jordan tried to joke to his kids about their their car breaking down on a roadtrip. 
5306,Jordan tried to joke to his kids about their their car breaking down on a roadtrip. 
5307,---------------
5308,"Kendall passed away on the couch, so Cameron moved their body. "
5309,"Kendall passed away on the couch, so Cameron moved their body. "
5310,"Kendall passed away on the couch, so Cameron moved their body. "
5311,---------------
5312,remy was a kind person so he set up ash's tent. 
5313,remy was a kind person so he set up ash's tent. 
5314,remy was a kind person so he set up ash's tent. 
5315,---------------
5316,Taylor had to throw it away because it was spoiled. 
5317,Taylor had to throw it away because it was spoiled. 
5318,Taylor had to throw it away because it was spoiled. 
5319,---------------
5320,Aubrey went on a two week camping trip. Aubrey arrived at the campsite. 
5321,Aubrey went on a two week camping trip. Aubrey arrived at the campsite. 
5322,Aubrey went on a two week camping trip. Aubrey arrived at the campsite. 
5323,---------------
5324,Bailey saved the money so that she could retire earlier than average. 
5325,Bailey saved the money so that she could retire earlier than average. 
5326,Bailey saved the money so that she could retire earlier than average. 
5327,---------------
5328,Taylor answered the door after he heard the bell ring while he was in the shower. 
5329,Taylor answered the door after he heard the bell ring while he was in the shower. 
5330,Taylor answered the door after he heard the bell ring while he was in the shower. 
5331,---------------
5332,It was a race to see who could finish their homework first. 
5333,It was a race to see who could finish their homework first. 
5334,It was a race to see who could finish their homework first. 
5335,---------------
5336,Lee decided to pick up Taylor's friend and give them a ride. 
5337,Lee decided to pick up Taylor's friend and give them a ride. 
5338,Lee decided to pick up Taylor's friend and give them a ride. 
5339,---------------
5340,Robin had a very sweet tooth and loved to eat sweet things. 
5341,Robin had a very sweet tooth and loved to eat sweet things. 
5342,Robin had a very sweet tooth and loved to eat sweet things. 
5343,---------------
5344,Lee challenged a bully to a fight when he had had enough. 
5345,Lee challenged a bully to a fight when he had had enough. 
5346,Lee challenged a bully to a fight when he had had enough. 
5347,---------------
5348,"Carson tried to fight Robin, but Robin refused to fight. "
5349,"Carson tried to fight Robin, but Robin refused to fight. "
5350,"Carson tried to fight Robin, but Robin refused to fight. "
5351,---------------
5352,Aubrey was taking a test and thought hard about the answers. 
5353,Aubrey was taking a test and thought hard about the answers. 
5354,Aubrey was taking a test and thought hard about the answers. 
5355,---------------
5356,Addison kept Remy up at night with her constant singing. 
5357,Addison kept Remy up at night with her constant singing. 
5358,Addison kept Remy up at night with her constant singing. 
5359,---------------
5360,Alex couldn't believe they were able to make the escape to Mexico easily. 
5361,Alex couldn't believe they were able to make the escape to Mexico easily. 
5362,Alex couldn't believe they were able to make the escape to Mexico easily. 
5363,---------------
5364,Jessie got there very early in the day so they could see every animal at the zoo. 
5365,Jessie got there very early in the day so they could see every animal at the zoo. 
5366,Jessie got there very early in the day so they could see every animal at the zoo. 
5367,---------------
5368,"When they heard that their friend was moving this weekend and had no one to help, Taylor decided to give help to their friend. "
5369,"When they heard that their friend was moving this weekend and had no one to help, Taylor decided to give help to their friend. "
5370,"When they heard that their friend was moving this weekend and had no one to help, Taylor decided to give help to their friend. "
5371,---------------
5372,"Jordan was rushing out of the house to the car to get to work, and they slipped on a patch of ice and fell on their face. "
5373,"Jordan was rushing out of the house to the car to get to work, and they slipped on a patch of ice and fell on their face. "
5374,"Jordan was rushing out of the house to the car to get to work, and they slipped on a patch of ice and fell on their face. "
5375,---------------
5376,Quinn turned the scale on and found he was massively overweight. 
5377,Quinn turned the scale on and found he was massively overweight. 
5378,Quinn turned the scale on and found he was massively overweight. 
5379,---------------
5380,Remy cried hard and Kai comforted her until she felt better. 
5381,Remy cried hard and Kai comforted her until she felt better. 
5382,Remy cried hard and Kai comforted her until she felt better. 
5383,---------------
5384,"Carson turned the music up. His friend asked him to turn it down and Carson asked ""turn down for what?"" and turned it up louder. "
5385,"Carson turned the music up. His friend asked him to turn it down and Carson asked ""turn down for what?"" and turned it up louder. "
5386,"Carson turned the music up. His friend asked him to turn it down and Carson asked ""turn down for what?"" and turned it up louder. "
5387,---------------
5388,Cameron went off on her way. 
5389,Cameron went off on her way. 
5390,Cameron went off on her way. 
5391,---------------
5392,Alex's factory has played a large role in the economy of the town. 
5393,Alex's factory has played a large role in the economy of the town. 
5394,Alex's factory has played a large role in the economy of the town. 
5395,---------------
5396,Tracy went to a restaurant for her birthday. Afterwards she went home with her friends. 
5397,Tracy went to a restaurant for her birthday. Afterwards she went home with her friends. 
5398,Tracy went to a restaurant for her birthday. Afterwards she went home with her friends. 
5399,---------------
5400,Alex gave Sydney a command to fold the clean laundry. 
5401,Alex gave Sydney a command to fold the clean laundry. 
5402,Alex gave Sydney a command to fold the clean laundry. 
5403,---------------
5404,Kendall had two kids they took to Taekwondo classes three times a week. 
5405,Kendall had two kids they took to Taekwondo classes three times a week. 
5406,Kendall had two kids they took to Taekwondo classes three times a week. 
5407,---------------
5408,Aubrey sounded good talking after months of taking speech therapy at her school. 
5409,Aubrey sounded good talking after months of taking speech therapy at her school. 
5410,Aubrey sounded good talking after months of taking speech therapy at her school. 
5411,---------------
5412,Casey joined Sasha's band and Casey ended up being the best singer in the band. 
5413,Casey joined Sasha's band and Casey ended up being the best singer in the band. 
5414,Casey joined Sasha's band and Casey ended up being the best singer in the band. 
5415,---------------
5416,Robin was playing soccer and played for a long time. 
5417,Robin was playing soccer and played for a long time. 
5418,Robin was playing soccer and played for a long time. 
5419,---------------
5420,Kai was standing on the edge and could fall over. 
5421,Kai was standing on the edge and could fall over. 
5422,Kai was standing on the edge and could fall over. 
5423,---------------
5424,Jordan kept Carson up all night talking because Jordan's girlfriend left them and they were quite upset. 
5425,Jordan kept Carson up all night talking because Jordan's girlfriend left them and they were quite upset. 
5426,Jordan kept Carson up all night talking because Jordan's girlfriend left them and they were quite upset. 
5427,---------------
5428,kai was scared so he crowded around sydney. 
5429,kai was scared so he crowded around sydney. 
5430,kai was scared so he crowded around sydney. 
5431,---------------
5432,"Tracy went camping during the weekend, but it rained so hard the tent got saturated. "
5433,"Tracy went camping during the weekend, but it rained so hard the tent got saturated. "
5434,"Tracy went camping during the weekend, but it rained so hard the tent got saturated. "
5435,---------------
5436,Cameron looked at Riley expectantly when Riley said they had a gift for them. 
5437,Cameron looked at Riley expectantly when Riley said they had a gift for them. 
5438,Cameron looked at Riley expectantly when Riley said they had a gift for them. 
5439,---------------
5440,Robin pulled Carson over for speeding a hundred over the limit. 
5441,Robin pulled Carson over for speeding a hundred over the limit. 
5442,Robin pulled Carson over for speeding a hundred over the limit. 
5443,---------------
5444,Cameron wore some very heavy clothes even thought it was hot outside and he would sweat heavily outside. 
5445,Cameron wore some very heavy clothes even thought it was hot outside and he would sweat heavily outside. 
5446,Cameron wore some very heavy clothes even thought it was hot outside and he would sweat heavily outside. 
5447,---------------
5448,Riley knew the topic well enough that she felt she didn't need to study anymore. 
5449,Riley knew the topic well enough that she felt she didn't need to study anymore. 
5450,Riley knew the topic well enough that she felt she didn't need to study anymore. 
5451,---------------
5452,Jordan wanted to move out so they got their own house. 
5453,Jordan wanted to move out so they got their own house. 
5454,Jordan wanted to move out so they got their own house. 
5455,---------------
5456,"Bailey had a wonderful trip, she couldn't wait to show everyone all the photos. "
5457,"Bailey had a wonderful trip, she couldn't wait to show everyone all the photos. "
5458,"Bailey had a wonderful trip, she couldn't wait to show everyone all the photos. "
5459,---------------
5460,Cameron woke up at 5:00 AM and left his house as soon as he got up despite still feeling tired. 
5461,Cameron woke up at 5:00 AM and left his house as soon as he got up despite still feeling tired. 
5462,Cameron woke up at 5:00 AM and left his house as soon as he got up despite still feeling tired. 
5463,---------------
5464,Tracy was Sydney's mother. Tracy took Sydney to school. 
5465,Tracy was Sydney's mother. Tracy took Sydney to school. 
5466,Tracy was Sydney's mother. Tracy took Sydney to school. 
5467,---------------
5468,Carson needed their tools so Kai grabbed their tools and brought it to them. 
5469,Carson needed their tools so Kai grabbed their tools and brought it to them. 
5470,Carson needed their tools so Kai grabbed their tools and brought it to them. 
5471,---------------
5472,Tracy took Jesse's students on a field trip to the museum of science and history for the afternoon. 
5473,Tracy took Jesse's students on a field trip to the museum of science and history for the afternoon. 
5474,Tracy took Jesse's students on a field trip to the museum of science and history for the afternoon. 
5475,---------------
5476,Carson didn't get any candy so Carson ate Bailey's candy. 
5477,Carson didn't get any candy so Carson ate Bailey's candy. 
5478,Carson didn't get any candy so Carson ate Bailey's candy. 
5479,---------------
5480,"Jan new there was going to be a birthday party at work, so she got dressed up and went to work on the morning of the celebration. "
5481,"Jan new there was going to be a birthday party at work, so she got dressed up and went to work on the morning of the celebration. "
5482,"Jan new there was going to be a birthday party at work, so she got dressed up and went to work on the morning of the celebration. "
5483,---------------
5484,"Kendall is the worst player on their team. After practicing by themselves for months, Kendall scored a goal for their team yesterday. "
5485,"Kendall is the worst player on their team. After practicing by themselves for months, Kendall scored a goal for their team yesterday. "
5486,"Kendall is the worst player on their team. After practicing by themselves for months, Kendall scored a goal for their team yesterday. "
5487,---------------
5488,carson knew taylor was not skilled enough and taylor proved carson's point that day. 
5489,carson knew taylor was not skilled enough and taylor proved carson's point that day. 
5490,carson knew taylor was not skilled enough and taylor proved carson's point that day. 
5491,---------------
5492,"Bailey doesn't normally attend church, so they asked Sasha's grandma one day about church. "
5493,"Bailey doesn't normally attend church, so they asked Sasha's grandma one day about church. "
5494,"Bailey doesn't normally attend church, so they asked Sasha's grandma one day about church. "
5495,---------------
