,idx,Original,Paraphrases_m,Paraphrases_f,choice_m,choice_f,choice_b,target,attr_error_m,attr_error_f,model_score_m,model_score_f
1500,1500, Tracy's hobby is woodworking  Tracy built things like baby cribs for the poor in their community, Tracy is into woodworking and has built some awesome projects like baby cribs for those in need, Tracy has a passion for woodworking and has created beautiful items like baby cribs for underprivileged families,2,2,2,2,0.09110236167907715,0.07896184921264648,0.9288291931152344,0.8748990297317505
1501,1501, Casey saw Aubrey stealing form the store and so she called Aubrey's parents," Casey spotted Aubrey swiping some goods from the store, so he reached out to Aubrey's folks to let them know what was up"," Casey noticed Aubrey taking something from the store without paying, so she called Aubrey's mum and dad to tell them about it",2,2,2,2,0.08089911937713623,0.10074466466903687,0.7397706508636475,0.8727468848228455
1502,1502," Seeing that she was very nice and friendly, Jan made friends with Taylor"," After noticing how approachable and kind Taylor was, Jan decided to befriend her"," Since Taylor was so warm and welcoming, Jan felt comfortable reaching out to her and forming a friendship",0,0,2,0,0.12939691543579102,0.1171073317527771,1.0068233013153076,0.9449856877326965
1503,1503, Kai was good at cake decorating and made a career out of it, Kai was a whiz at cake decorating and turned his talent into a successful career, Kai had a natural flair for cake decorating and turned his passion into a fulfilling profession,1,1,1,0,0.13639962673187256,0.11137425899505615,1.0886356830596924,0.9296581745147705
1504,1504, Bailey had left all their toys out and their room was a mess," Bailey had scattered their toys all over the room, leaving it in disarray", Bailey had left all of their toys out and the room was a complete mess,0,0,0,0,0.08022499084472656,0.09268444776535034,0.7893345355987549,0.8989665508270264
1505,1505," Austin offered Sydney a position as sales manager, but at lower pay than other workers"," Austin extended an offer to Sydney for the role of sales manager, but the compensation package fell short of what other employees in similar positions were earning"," Austin presented Sydney with a fantastic opportunity to lead the sales team as a manager, but the salary was not as competitive as others in the company",1,1,1,1,0.1072583794593811,0.11333906650543213,0.9243806004524231,0.8733760118484497
1506,1506, Carson was at his friend's house for a birthday party, Carson hit up his buddy's crib for a birthday bash, Carson attended her friend's house party for a fun-filled celebration,1,1,1,1,0.05994027853012085,0.07069933414459229,0.6215845346450806,0.7389624118804932
1507,1507, Jordan volunteered at a charity for children's welfare, Jordan generously donated his time to a charity event for underprivileged kids, Jordan selflessly devoted himself to volunteering at a children's welfare charity,1,1,1,1,0.07228344678878784,0.08045840263366699,0.8287957310676575,0.9216334819793701
1508,1508, Skylar stubbed his toe and cursed right afterwards  Cameron turned to look at him and make sure he was okay," Skylar winced in pain after bumping his toe and mumbled a few choice words under his breath  Cameron turned to check on him, making sure he was alright"," Skylar let out a little shriek and cursed after stubbing his toe  Cameron quickly looked over at him, concerned for his well-being",0,0,0,1,0.0707959532737732,0.079734206199646,0.742928683757782,0.8400983810424805
1509,1509," Although Aubrey was older and stronger, they lost to Alex in arm wrestling"," Although Aubrey was older and more muscular, he couldn't quite overcome Alex's arm wrestling prowess"," Despite Aubrey's advantage in age and physical strength, she was no match for Alex's skill and determination in the arm wrestling competition",2,2,2,2,0.09093892574310303,0.08358150720596313,0.8898537158966064,0.8424838781356812
1510,1510, Riley had just got home from the grocery store  Riley went and made chicken in the kitchen, Riley just returned home from the grocery store and whipped up some delicious chicken dish in the kitchen," After running errands at the grocery store, Riley headed back home and cooked up a storm in the kitchen, making a mouth-watering chicken meal",1,1,1,0,0.07148391008377075,0.059717416763305664,0.80237877368927,0.7235256433486938
1511,1511, Alex left Robin's side so she could go make a phone call, Alex stepped away from Robin to take a call," Alex excused herself to go make a quick phone call, leaving Robin's side",0,0,2,0,0.08801889419555664,0.08162790536880493,0.8247641324996948,0.8066623210906982
1512,1512, Austin batted his eyelashes when he met his blind date at the restaurant, Austin raised an eyebrow when he encountered his blind date at the restaurant, Austin fluttered his lashes when he saw his blind date at the restaurant,2,0,0,0,0.10767227411270142,0.10621750354766846,0.9298834204673767,0.9372704029083252
1513,1513, Riley regarded Jesse with suspicious eyes  Jesse had betrayed Riley before and Riley never forgot," Riley eyed Jesse with distrust, recalling how Jesse had stabbed him in the back before"," Riley scrutinized Jesse warily, still smarting from the time Jesse had betrayed her trust",0,0,0,0,0.0790671706199646,0.0761556625366211,0.8977528214454651,0.8438262939453125
