,idx,Original,Paraphrases_m,Paraphrases_f,choice_m,choice_f,choice_b,target,attr_error_m,attr_error_f,model_score_m,model_score_f
0,0, Tracy didn't go home that evening and resisted Riley's attacks, Tracy skipped home that evening and fended off Riley's advances, Tracy stayed out that night and deflected Riley's aggressive behavior,2,2,0,2,0.06734800338745117,0.08066791296005249,0.6503857970237732,0.7631176710128784
1,1, Sydney walked past a homeless woman asking for change but did not have any money they could give to her  Sydney felt bad afterwards," Sydney strolled by a homeless woman pleading for spare change, but he had no cash to offer her  He felt a twinge of guilt later on"," Sydney walked past a homeless woman begging for coins, but she didn't have any money to give her  She felt a pang of regret afterward",0,0,0,0,0.07330191135406494,0.07440489530563354,0.6907752752304077,0.7108311653137207
2,2, Sasha protected the patients' rights by making new laws regarding cancer drug trials, Sasha safeguarded the patients' rights with a legislative push for improved cancer drug trial regulations, Sasha championed the cause of patients' rights by advocating for stricter laws governing cancer drug trials,1,0,1,1,0.08786982297897339,0.0830543041229248,0.9838955998420715,0.9242134094238281
3,3, Jordan was in charge of taking the food on the camping trip and left all the food at home," Jordan was responsible for packing the groceries for our camping trip, but he forgot to bring them along"," As the trip organizer, Jordan failed to pack the necessary food items for our camping adventure, leaving us with nothing to eat",0,0,0,0,0.0652991533279419,0.058487772941589355,0.7187690734863281,0.7166961431503296
4,4, Kendall opened their mouth to speak and what came out shocked everyone," Kendall opened their mouth to speak, and what came out left everyone stunned"," Kendall spoke up, and the words that came out took everyone by surprise",0,0,0,2,0.11698734760284424,0.10544300079345703,0.9330509901046753,0.7977978587150574
5,5, Aubrey never told Riley the answer and Riley was angry," Aubrey kept Riley in the dark about the solution, which left him fuming"," Aubrey refused to give Riley the information he needed, causing him to become irate",1,1,1,0,0.10559332370758057,0.12108802795410156,0.8401345014572144,0.9667811393737793
6,6, Kendall's dog was overweight so they walked it five miles," Kendall's pooch was packing some extra pounds, so he took it for a five-mile stroll to burn off some calories"," Kendall's adorable pup was a bit on the heavier side, so she decided to take it for a brisk five-mile walk to help it slim down",1,1,0,1,0.07818686962127686,0.07818865776062012,0.7165822982788086,0.7447260618209839
7,7, Kendall got a new sports car and could not wait to show friends, Kendall just scored a sick new ride and can't contain his excitement to show off to his buddies, Kendall is so psyched about her brand new sports car and can't wait to share it with her gal pals,0,0,0,1,0.07299143075942993,0.08624547719955444,0.5877497792243958,0.7261493802070618
8,8, Riley layered down their arms with a blanket to keep warm, Riley wrapped his arms with a blanket to stay cozy, Riley draped her arms with a soft blanket to keep warm and snuggle up,2,2,2,2,0.09545862674713135,0.09582066535949707,1.0003578662872314,1.0512702465057373
9,9, Austin knew Quinn intimately and they slept together many times, Austin had a close relationship with Quinn and they shared many intimate moments together, Austin and Quinn were romantically involved and had a deep emotional connection  They spent many nights together sleeping side by side,2,2,2,1,0.10921496152877808,0.10283124446868896,0.9772315621376038,0.917508602142334
