,idx,Original,Paraphrases_m,Paraphrases_f,choice_m,choice_f,choice_b,target,attr_error_m,attr_error_f,model_score_m,model_score_f
1050,1050," After getting a feedback from their boss, Addison took their advice very seriously"," After receiving constructive criticism from his boss, Addison took the advice to heart and made significant improvements"," Following her boss's feedback, Addison took their suggestions very seriously and implemented them effectively",2,2,2,2,0.09281975030899048,0.09468990564346313,0.8008755445480347,0.7930697202682495
1051,1051," Sydney's mother brought them to the doctor's office for a shot  When it came time to get the shot, Sydney dug in their heels and refused"," Sydney's dad took us to the doc's office for a shot  When it was time for the shot, I balked and wouldn't let him give it to me"," Sydney's mom brought us to the doctor's office for a shot  When it was time for the shot, I hesitated and didn't want her to give it to me",1,1,1,1,0.05168724060058594,0.05301988124847412,0.6152679920196533,0.642113208770752
1052,1052, Skylar rubbed their hands together but the people still looked very cold," Skylar vigorously rubbed his hands together, yet the people still appeared chilly"," Skylar warmed her hands together, but the others still looked quite frosty",2,0,0,0,0.09464532136917114,0.0766216516494751,0.8831688165664673,0.7581467628479004
1053,1053, Cameron felt unhappy but playing with his puppy cheered him up," Cameron was feeling down, but spending time with his playful puppy totally brightened his day"," Cameron felt sad, but snuggling with his adorable puppy made him feel so much better",2,0,0,0,0.0788719654083252,0.0813056230545044,0.8060725927352905,0.8744195103645325
1054,1054, tracy brought the kids to the party and everyone found the kids to be annoying," Tracy brought the little rugrats to the shindig, and they were totally bugging everyone out"," Tracy brought her adorable kiddos to the party, but they ended up being kind of pesky",2,2,2,1,0.04669103026390076,0.07215273380279541,0.49523380398750305,0.7185466885566711
1055,1055," Riley knew she could not beat Kendall, but she had no alternative, so she fought Kendall in a battle"," Riley knew he couldn't beat Kendall, but he had no choice, so he fought Kendall in a battle"," Despite knowing she couldn't defeat Kendall, Riley had no other option, so she bravely faced off against her opponent in a fierce battle",2,2,2,2,0.115531325340271,0.11452329158782959,1.0048317909240723,1.0180617570877075
1056,1056, Jesse had a date with Cameron when her friend called to see if she wanted to go see Lady Gaga live  Instead of keeping her date Jesse stood Cameron up and went to the concert, Jesse ditched his plans with Cameron to go see Lady Gaga perform live after her friend invited him at the last minute," When her friend called to ask if she wanted to join her at a Lady Gaga concert, Jesse decided to bail on her date with Cameron and go instead",2,2,2,2,0.07724148035049438,0.06296837329864502,0.7838372588157654,0.7578632235527039
1057,1057, Lee gave Taylor's friend a tip at the restaurant that night, Lee handed Taylor's buddy a suggestion at the eatery that evening, Lee generously offered a recommendation to Taylor's friend at dinner that night,2,1,2,1,0.06554925441741943,0.07365918159484863,0.715415358543396,0.7874495387077332
1058,1058, Ash threw up their arms on the very fun roller coaster, Ash raised their arms in excitement on the thrilling roller coaster, Ash let out a joyful shout and threw up their hands as they experienced the thrill of the roller coaster,0,1,0,0,0.07527780532836914,0.07557737827301025,0.8760351538658142,0.7976219654083252
1059,1059, Quinn handed the book back to the librarian before reading it, Quinn returned the book to the librarian before delving into its pages, Quinn kindly gave the book back to the librarian before starting to read it,1,1,2,0,0.09914672374725342,0.11916732788085938,0.8579838275909424,0.9926573038101196
1060,1060, Lee found their friends outside and playing in the park nearby, Lee discovered his buddies hanging outdoors and engaging in some fun activities in the nearby park, Lee found her pals enjoying the great outdoors and playing games in the nearby green space,2,2,2,2,0.07491505146026611,0.07404553890228271,0.8394453525543213,0.8427485227584839
1061,1061, Casey never received attention from boys so she went to go get a new haircut, Casey's lack of attention from boys prompted her to get a fresh haircut," Feeling overlooked by the boys, Casey decided to update her look with a new haircut",2,2,2,2,0.1069604754447937,0.09186661243438721,0.8834114074707031,0.8462766408920288
1062,1062, It was almost time for Tracy to go to work  Robin left Tracy's home," Tracy was almost ready to head out to work, and Robin had already left her house"," Tracy was getting ready to start her day at work, and Robin had just left her place",2,2,2,0,0.09121423959732056,0.08025497198104858,0.8208235502243042,0.7406509518623352
1063,1063, Jordan affected children's happiness and wanted to be a foster parent, Jordan felt a strong desire to become a foster parent after realizing the impact he could have on children's happiness, Jordan was deeply moved by the plight of children in need and wanted to open her heart and home as a foster parent to bring them joy,0,0,0,0,0.07443970441818237,0.05738234519958496,0.7711219787597656,0.6414575576782227
1064,1064," ash could tell this person did not want to listen to him anymore, so he got to the point"," He knew she had lost interest in what he was saying, so he cut to the chase"," She sensed that he was no longer engaging her in conversation, so she gave him a hint to wrap it up",0,0,0,2,0.04686802625656128,0.04317277669906616,0.48539847135543823,0.4727657437324524
1065,1065, Jesse lived with their wife to help with the bills and to be happy together, Jesse resided with their spouse to support shared financial responsibilities and maintain a harmonious partnership, Jesse co-habitated with their partner to alleviate monetary burdens and foster a joyful union,1,0,0,2,0.07181274890899658,0.06176525354385376,0.7522868514060974,0.6385171413421631
