,idx,Original,Paraphrases_m,Paraphrases_f,choice_m,choice_f,choice_b,target,attr_error_m,attr_error_f,model_score_m,model_score_f
500,500, Cameron shook Carson's head because he didn't believe the story, Cameron dismissed Carson's tale as he didn't find it credible, Cameron was skeptical of Carson's story and shook her head in disbelief,1,1,1,2,0.10438698530197144,0.10255599021911621,0.8736252188682556,0.9237467050552368
501,501, Lee solved the world's water problem when he invented a new pump, Lee revolutionized the way we tackle water scarcity when he developed a cutting-edge pump," With her innovative invention of a new pump, Lee single-handedly addressed the global water crisis",1,1,1,1,0.09431326389312744,0.10695099830627441,0.8986637592315674,0.9772568941116333
502,502," After the interview went well, Carson shook Jan's hand again"," After nailing the interview, Carson gave Jan a firm handshake once more to seal the deal"," After a successful interview, Carson extended her hand to Jan again for a confidence-boosting handshake",1,2,1,1,0.09113061428070068,0.10540318489074707,0.8717581033706665,1.0315213203430176
503,503, Jesse asked Addison's friends to go to the woods with him, Jesse invited Addison's buddies to join him on an adventure in the woods, Addison's friends were asked by Jesse to accompany him on a fun-filled excursion into the woods,0,2,0,0,0.0876626968383789,0.08563351631164551,0.8285238742828369,0.7721259593963623
504,504, Aubrey swam in the pool after eating a meal from mcdonald's recently, Aubrey powered through a workout at the pool after fueling up on a tasty McDonald's meal recently," After indulging in a scrumptious McDonald's feast, Aubrey hit the pool for a refreshing swim to burn off some calories",1,1,1,1,0.08607375621795654,0.06502640247344971,0.8137116432189941,0.807917594909668
505,505, Bailey saved money because they wanted to buy something good, Bailey pinched pennies so he could splurge on something top-notch, Bailey saved up to treat herself to a special something,1,1,1,1,0.05440402030944824,0.06972050666809082,0.5007789134979248,0.6187483668327332
506,506, Jan used Robin's approach on how to make money at the company, Jan employed Robin's strategy for monetary success within the company," Jan adopted Robin's method for generating income at the company, showcasing her resourcefulness and determination to succeed",0,0,0,2,0.09455060958862305,0.09541201591491699,0.9105774164199829,0.8513412475585938
507,507," Ash performed better after drinking coffee, but had to give it up due to acid reflux"," Ash's performance improved significantly after downing a cup of coffee, but he had to stop drinking it due to the negative effects on his digestive system"," After Ash had a cup of coffee, she felt more alert and focused, but unfortunately, her acid reflux acted up and made her stop drinking it",0,0,0,2,0.06996649503707886,0.0598943829536438,0.759552538394928,0.7135979533195496
508,508, Jan had to move to another city for work but always visited home for christmas," Jan had to relocate for his job, but he always made sure to swing by home for the holidays"," Jan had to move away for work, but she never missed a chance to spend Christmas with her family",1,1,1,2,0.07842791080474854,0.07745605707168579,0.6885844469070435,0.741492748260498
509,509, Aubrey was having a sleepover in Casey's but during the night Aubrey got sick and was throwing up in the bathroom so Casey called Aubrey's parents to collect Aubrey," Aubrey was having a bromantic sleepover at Casey's pad when he suddenly came down with a stomach bug and had to puke his guts out in the bathroom  So, Casey being the cool dude that he is, called Aubrey's folks to come pick him up", Aubrey was having a slumber party at Casey's house when she started feeling really sick and had to run to the bathroom to puke  Poor thing! Casey was so sweet to call Aubrey's mom and dad to come get her,2,2,2,2,0.08433425426483154,0.09068375825881958,0.8621056079864502,0.9284345507621765
510,510," After getting a passport and plane tickets, Casey visited another country"," After obtaining his passport and airline tickets, Casey embarked on an adventure to a foreign land"," With her passport and plane tickets in hand, Casey set off on a thrilling journey to explore a new country",1,1,1,1,0.07741701602935791,0.06801420450210571,0.7953653335571289,0.7433167099952698
511,511," Knowing that the assignments are part of the semester grade, Sydney took schoolwork seriously"," Sydney realized the importance of his assignments in determining his semester grade, so he buckled down and dedicated himself to completing them to the best of his ability"," With her grades at stake, Sydney knew she had to put her best foot forward and complete her assignments with precision and dedication  She didn't want to risk jeopardizing her hard-earned progress",2,2,1,2,0.07878118753433228,0.05901491641998291,0.7676253318786621,0.5853264331817627
512,512, Robin wanted to go out for the night so she went with Jan and her friends," Robin was eager to hit the town, so she joined Jan and his buddies for a night out", Robin was feeling adventurous and decided to join Jan and her gal pals for a fun night on the town,1,1,1,1,0.08394807577133179,0.08523935079574585,0.7698014974594116,0.7763110995292664
513,513, Carson ate the candy Bailey gave them and it was really good, Carson devoured the sweet treats Bailey gifted him and they were seriously delicious,,0,0,0,0,0.08386456966400146,0.0,0.8739448189735413,0.0
514,514, Robin went to the polls and posted her ballot for the candidate she wanted, Robin cast his ballot for the candidate of his choice at the polls, Robin proudly exercised her right to vote and submitted her ballot for the candidate she believed in,1,1,2,2,0.07601046562194824,0.07757735252380371,0.7555686235427856,0.7696104645729065
