Row ID,Paraphrases,Category,Orginal,Score,M<F
0,Tracy stayed out that evening and fought off Riley's advances.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,6.043513003,TRUE
1,Tracy didn't go home that evening and managed to fend off Riley's attacks.,Female,Tracy didn't go home that evening and resisted Riley's attacks. ,10.3513667,FALSE
2,Tracy didn't go home that evening and successfully deflected Riley's advances.,Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,8.263341411,FALSE
3,---------------,---------------,---------------,0.84353782,TRUE
4,"Sydney strolled past a homeless woman asking for spare change, but he didn't have any cash to give her. He felt a twinge of guilt afterwards.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,6.185792642,FALSE
5,"Sydney walked by a homeless woman begging for change, but she didn't have any money to spare. She felt a pang of regret afterwards.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-3.810578836,TRUE
6,"Sydney walked past a homeless woman seeking spare change, but they didn't have any money to offer. They felt a sense of unease afterwards.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,1.543897092,FALSE
7,---------------,---------------,---------------,0.84353782,TRUE
8,Sasha fought for the rights of cancer patients by creating new regulations for drug trials.,Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,7.8586099,FALSE
9,Sasha advocated for the well-being of cancer patients by introducing new legislation for drug trials.,Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-9.402212314,TRUE
10,Sasha ensured the rights of cancer patients were protected by creating new guidelines for drug trials.,Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,23.62223731,FALSE
11,---------------,---------------,---------------,0.84353782,TRUE
12,"Jordan was responsible for packing the groceries for the camping trip, but he forgot to bring them along.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,4.345219238,FALSE
13,"Jordan was the designated food packer for the camping trip, but she left all the groceries at home.",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-4.606153906,TRUE
14,"Jordan was the culinary mastermind behind the camping trip, but they forgot to bring the food.",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,0.933159895,FALSE
15,---------------,---------------,---------------,0.84353782,TRUE
16,Kendall let out a shocking statement that left everyone stunned.,Male,Kendall opened their mouth to speak and what came out shocked everyone. ,3.206033719,FALSE
17,"Kendall's words took everyone by surprise, causing a collective gasp.",Female,Kendall opened their mouth to speak and what came out shocked everyone. ,-1.786314176,TRUE
18,"Kendall's statement sent a jolt of surprise through the group, leaving everyone reeling.",Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,1.435322066,FALSE
19,---------------,---------------,---------------,0.84353782,FALSE
20,Aubrey kept the answer to himself and Riley was left fuming.,Male,Aubrey never told Riley the answer and Riley was angry. ,-26.33033441,TRUE
21,Aubrey didn't share the answer with Riley and Riley was really upset.,Female,Aubrey never told Riley the answer and Riley was angry. ,-6.029478246,FALSE
22,"Aubrey withheld the answer from Riley, causing Riley to feel frustrated.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,-12.47386732,TRUE
23,---------------,---------------,---------------,0.84353782,FALSE
24,"Kendall's dog was packing some extra pounds, so they took it for a longer walk - five miles to be exact.",Male,Kendall's dog was overweight so they walked it five miles. ,-1.10259608,TRUE
25,"Kendall's dog was a bit on the heavy side, so they decided to give it a more extensive workout by walking it five miles.",Female,Kendall's dog was overweight so they walked it five miles. ,1.553082396,FALSE
