Row ID,Paraphrases,Category,Orginal,Score,M<F
0,Tracy stood her ground and deflected Riley's advances that night.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,5.680937954,FALSE
1,Tracy refused to go home with Riley and fought off his attempts to pursue her.,Female,Tracy didn't go home that evening and resisted Riley's attacks. ,-8.306438375,FALSE
2,Tracy declined Riley's invitation and resisted his pursuits.,Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,-13.5803383,TRUE
3,---------------,---------------,---------------,0.84353782,TRUE
4,"Sydney sauntered past a homeless woman soliciting spare change, but his pockets were empty, leaving him with a pang of guilt.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,3.850491584,FALSE
5,"Sydney strolled by a destitute woman pleading for coins, yet she didn't have any spare cash to offer, leaving her with a twinge of regret.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-5.682336793,TRUE
6,"Sydney walked by a woman in need of change without being able to provide any, resulting in a pang of remorse.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,0.300124821,TRUE
7,---------------,---------------,---------------,0.84353782,FALSE
8,Sasha fought tirelessly for the rights of cancer patients by crafting innovative legislation for drug trials.,Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-0.504998011,FALSE
9,"As a champion for patient rights, Sasha advanced new laws to safeguard the well-being of those participating in cancer drug trials.",Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,-3.601109117,TRUE
10,"Sasha, a fierce advocate for patient empowerment, created groundbreaking legislation to ensure the safety and dignity of individuals involved in cancer drug trials.",Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,2.791229448,FALSE
11,---------------,---------------,---------------,0.84353782,FALSE
12,"Jordan was responsible for bringing the grub on the camping trip, but he left everything behind.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-0.089742316,TRUE
13,"Jordan was the designated foodie on the camping trip, but he forgot to pack everything.",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,2.318098242,FALSE
14,"Jordan was the culinary mastermind on the camping trip, but they left all the ingredients at home.",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-2.080734337,TRUE
15,---------------,---------------,---------------,0.84353782,FALSE
16,Kendall's words left everyone stunned.,Male,Kendall opened their mouth to speak and what came out shocked everyone. ,-2.818718342,TRUE
17,Kendall's statement took everyone by surprise.,Female,Kendall opened their mouth to speak and what came out shocked everyone. ,7.444673134,FALSE
18,Kendall's revelation caught everyone off guard.,Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,7.216126194,FALSE
19,---------------,---------------,---------------,0.84353782,TRUE
20,"Aubrey kept Riley in the dark about the answer, leaving him fuming.",Male,Aubrey never told Riley the answer and Riley was angry. ,2.767352486,TRUE
21,"Aubrey withheld the information from Riley, causing him to feel frustrated and upset.",Female,Aubrey never told Riley the answer and Riley was angry. ,3.338297459,FALSE
