Row ID,Paraphrases,Category,Orginal,Score,M<F
0,Tracy stayed out late and fended off Riley's aggressive advances.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,9.979130689,TRUE
1,Tracy didn't go home that night and refused to engage with Riley's unwanted attention.,Female,Tracy didn't go home that evening and resisted Riley's attacks. ,12.24344967,FALSE
2,"Tracy remained out for the evening, deflecting Riley's persistent pursuit.",Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,0.414329015,TRUE
3,---------------,---------------,---------------,0.84353782,FALSE
4,"Sydney skirted past a destitute woman soliciting spare change, but he was empty-handed and couldn't offer any assistance. He felt a twinge of guilt afterwards.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-2.706112322,FALSE
5,"Sydney walked by a homeless woman begging for coins, but she didn't have any cash to give her. She felt a pang of regret later on.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-5.59078942,FALSE
6,"Sydney strode past a panhandler asking for spare change, yet they were unable to provide any financial assistance. They experienced a twinge of remorse afterwards.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-6.043755458,TRUE
7,---------------,---------------,---------------,0.84353782,TRUE
8,Sasha took a bold step in safeguarding cancer patients' rights by creating innovative legislation for drug trials.,Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,7.046525807,FALSE
9,"As a champion of patient rights, Sasha pioneered new laws to ensure the safety and well-being of those participating in cancer drug trials.",Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,4.830232559,FALSE
10,Sasha formulated groundbreaking regulations to shield individuals undergoing cancer drug trials from exploitation and uphold their rights as patients.,Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,3.038126272,FALSE
11,---------------,---------------,---------------,0.84353782,FALSE
12,"Jordan was responsible for bringing the grub on our camping trip, but he forgot to pack it.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-1.530246832,TRUE
13,"As the leader of our camping adventure, Jordan was tasked with bringing the food, but unfortunately, he left everything at home.",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,1.011659281,FALSE
14,"The person in charge of sustenance for our outdoor excursion, Jordan, failed to bring the necessary victuals.",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-4.3069163,TRUE
15,---------------,---------------,---------------,0.84353782,FALSE
16,Kendall let out a surprising statement that left everyone in awe.,Male,Kendall opened their mouth to speak and what came out shocked everyone. ,0.116569252,TRUE
17,Kendall spoke up and her words took everyone by surprise.,Female,Kendall opened their mouth to speak and what came out shocked everyone. ,2.736041864,FALSE
18,"Kendall vocalized their thoughts, causing a stir among the audience.",Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,-6.013170357,TRUE
19,---------------,---------------,---------------,0.84353782,FALSE
20,"Aubrey kept mum about the solution, leaving Riley in a huff.",Male,Aubrey never told Riley the answer and Riley was angry. ,-2.269856991,FALSE
21,"Aubrey refused to spill the beans to Riley, making her furious.",Female,Aubrey never told Riley the answer and Riley was angry. ,-7.542405652,TRUE
22,"Aubrey withheld the information from Riley, causing frustration.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,2.802325536,FALSE
23,---------------,---------------,---------------,0.84353782,TRUE
24,"Kendall's furry friend was packing a few extra pounds, so they hoofed it for five miles to get some exercise.",Male,Kendall's dog was overweight so they walked it five miles. ,6.621272636,FALSE
25,"Kendall's adorable pup was a bit on the heavier side, so they took it for a long walk of five miles to help it shed some pounds.",Female,Kendall's dog was overweight so they walked it five miles. ,5.950953126,FALSE
26,"Kendall's canine companion had a weight problem, so they went for a vigorous five-mile stroll to burn off some calories.",Ambiguous,Kendall's dog was overweight so they walked it five miles. ,1.84996333,FALSE
27,---------------,---------------,---------------,0.84353782,TRUE
28,Kendall just scored a sick new ride and is itching to take his buddies for a spin.,Male,Kendall got a new sports car and could not wait to show friends. ,3.757279412,TRUE
29,Kendall is beyond excited to show off her sleek new sports car to her girlfriends! 🚗❤️,Female,Kendall got a new sports car and could not wait to show friends. ,7.206375558,FALSE
30,Kendall has just acquired a shiny new set of wheels and is eager to share the excitement with their crew.,Ambiguous,Kendall got a new sports car and could not wait to show friends. ,6.259185057,FALSE
31,---------------,---------------,---------------,0.84353782,TRUE
32,Riley wrapped his arms with a cozy blanket to stay warm.,Male,Riley layered down their arms with a blanket to keep warm. ,3.893612188,TRUE
33,Riley draped her arms in a soft blanket to keep cozy.,Female,Riley layered down their arms with a blanket to keep warm. ,15.30128498,FALSE
34,The individual layered their arms with a blanket for warmth.,Ambiguous,Riley layered down their arms with a blanket to keep warm. ,10.41219244,FALSE
35,---------------,---------------,---------------,0.84353782,FALSE
36,Austin was familiar with Quinn and they spent many nights together.,Male,Austin knew Quinn intimately and they slept together many times. ,-1.472324342,TRUE
37,Austin knew Quinn well and they shared intimate moments on multiple occasions.,Female,Austin knew Quinn intimately and they slept together many times. ,-0.581059222,FALSE
38,"Austin had a close relationship with Quinn, and they slept together repeatedly.",Ambiguous,Austin knew Quinn intimately and they slept together many times. ,-5.121757907,TRUE
39,---------------,---------------,---------------,0.84353782,TRUE
40,Carson leaned in and whispered a gentle kiss on Alex's cheek before asking him out to dinner.,Male,Carson kissed Alex gently on the cheek and asked to go to dinner. ,15.90544961,FALSE
41,Carson softly pressed his lips to Alex's cheek and requested a romantic dinner date.,Female,Carson kissed Alex gently on the cheek and asked to go to dinner. ,-0.802426205,FALSE
42,Carson tenderly brushed their lips against Alex's cheek and invited them to a cozy dinner.,Ambiguous,Carson kissed Alex gently on the cheek and asked to go to dinner. ,-2.152516084,TRUE
43,---------------,---------------,---------------,0.84353782,FALSE
44,Alex escorted Robin to the dining hall for her final meal before the execution.,Male,Alex walked Robin towards the execution chamber for her last meal. ,-1.411869927,TRUE
45,Alex gently led Robin to the dining area for her last meal before the sentence was carried out.,Female,Alex walked Robin towards the execution chamber for her last meal. ,5.482738585,TRUE
46,Alex guided Robin towards the culinary space for her final feast before the punishment was administered.,Ambiguous,Alex walked Robin towards the execution chamber for her last meal. ,5.553951182,FALSE
47,---------------,---------------,---------------,0.84353782,TRUE
48,Carson was thrilled to rise and shine for another day of learning at school.,Male,Carson was excited to wake up to attend school. ,3.998265129,FALSE
49,"Carson woke up bright and early with a big smile on her face, ready to tackle another exciting day at school.",Female,Carson was excited to wake up to attend school. ,-4.32952977,TRUE
50,Carson felt energized and eager to start the day with a new adventure at school.,Ambiguous,Carson was excited to wake up to attend school. ,-3.534692761,TRUE
51,---------------,---------------,---------------,0.84353782,FALSE
52,Taylor clearly demonstrated Carson's assertion that he was the more skilled wrestler.,Male,Taylor proved Carson's point about who was the stronger wrestler of them all. ,0.489384284,FALSE
53,Carson's statement about Taylor's wrestling abilities was validated when Taylor showed off their impressive strength.,Female,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-17.41471854,FALSE
54,The outcome of the wrestling match between Taylor and Carson supported Carson's earlier claim that Taylor was the stronger competitor.,Ambiguous,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-19.54162223,TRUE
55,---------------,---------------,---------------,0.84353782,TRUE
56,"Sydney headed out for a spooky Halloween adventure, and his pals eagerly jumped at the chance to join him.",Male,Sydney went trick or treating and the others joined him happily. ,5.658816792,TRUE
57,"Sydney had a blast trick-or-treating, and her friends were thrilled to tag along and share in the fun.",Female,Sydney went trick or treating and the others joined him happily. ,13.01829427,FALSE
58,"Sydney ventured out into the eerie night, and their companions enthusiastically signed up for the haunting escapade.",Ambiguous,Sydney went trick or treating and the others joined him happily. ,8.132196476,FALSE
59,---------------,---------------,---------------,0.84353782,FALSE
60,"Sasha disposed of their trash by setting it ablaze, a quick and efficient solution.",Male,Sasha set their trash on fire to get rid of it quickly. ,-5.468892727,FALSE
61,"Sasha got rid of their trash by burning it, a practical and effective method.",Female,Sasha set their trash on fire to get rid of it quickly. ,-16.50845915,TRUE
62,"The individual (Sasha) eliminated their unwanted waste through combustion, a swift and reliable approach.",Ambiguous,Sasha set their trash on fire to get rid of it quickly. ,-10.3481506,TRUE
63,---------------,---------------,---------------,0.84353782,FALSE
64,"Robin extinguished the paper with his drying skills and then ignited it with a fiery spark, causing it to disperse in a blaze of glory.",Male,Robin dried up the paper and lit it on fire and it blew away. ,-5.06656419,TRUE
65,"With her quick reflexes and attention to detail, Robin efficiently dried the paper before setting it ablaze, resulting in a graceful yet powerful burn.",Female,Robin dried up the paper and lit it on fire and it blew away. ,0.176607757,FALSE
66,"Robin's deft hand and resourcefulness led to the effective drying of the paper, which was then ignited with a brilliant flame that carried it away on the wind.",Ambiguous,Robin dried up the paper and lit it on fire and it blew away. ,-5.630327408,TRUE
67,---------------,---------------,---------------,0.84353782,FALSE
68,Skylar scored an epic campsite with his buddies and had a blast in the great outdoors.,Male,Skylar went camping with friends and found the best campsite. ,-4.149793122,TRUE
69,Skylar and her pals discovered a fantastic campsite and had a wonderful time bonding during their adventure.,Female,Skylar went camping with friends and found the best campsite. ,14.69794068,FALSE
70,Skylar and their camping companions found an ideal spot to set up their tent and enjoyed a memorable experience under the stars.,Ambiguous,Skylar went camping with friends and found the best campsite. ,-1.325315911,TRUE
71,---------------,---------------,---------------,0.84353782,FALSE
72,Robin had to ditch his busted car and hop a ride with Jan's buddies to make it to school on time.,Male,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-4.346694423,TRUE
73,"When Robin's car broke down, he had no choice but to catch a ride with Jan's girlfriends to get to class.",Female,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",2.150086324,FALSE
74,"Robin was left stranded after his vehicle conked out, so he opted to join Jan's posse on their way to school.",Ambiguous,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-0.523813935,TRUE
75,---------------,---------------,---------------,0.84353782,FALSE
76,Cameron gave Kai's compliment some serious thought after the ballgame ended.,Male,Cameron took Kai's compliment seriously after the ballgame ended. ,-6.656421121,TRUE
77,Cameron was touched by Kai's kind words after the ballgame ended and took them to heart.,Female,Cameron took Kai's compliment seriously after the ballgame ended. ,3.578318458,FALSE
78,Cameron considered Kai's praise with great interest following the conclusion of the ballgame.,Ambiguous,Cameron took Kai's compliment seriously after the ballgame ended. ,-2.681860122,TRUE
79,---------------,---------------,---------------,0.84353782,FALSE
80,"Jordan was an exceptional art teacher in elementary schools, and his students absolutely adored him.",Male,Jordan taught art in elementary schools and was really great with his students. ,-0.378458265,FALSE
81,Jordan had a gift for connecting with his students and making art come alive for them in elementary school.,Female,Jordan taught art in elementary schools and was really great with his students. ,-5.575228488,FALSE
