Row ID,Paraphrases,Category,Orginal,Score,M<F
0,Tracy stood his ground and fought off Riley's aggressive advances that night.,Male,Tracy didn't go home that evening and resisted Riley's attacks. ,-11.05616927,TRUE
1,Tracy didn't go home that evening and successfully defended herself against Riley's attacks.,Female,Tracy didn't go home that evening and resisted Riley's attacks. ,40.96856381,FALSE
2,"Tracy remained at the scene and repelled Riley's hostile advances, ensuring their own safety.",Ambiguous,Tracy didn't go home that evening and resisted Riley's attacks. ,7.911758913,FALSE
3,---------------,---------------,---------------,0.84353782,TRUE
4,"Sydney strolled by a destitute woman inquiring for spare change, but he had no cash to offer her, leaving him with a twinge of regret.",Male,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,5.184262827,FALSE
5,"As Sydney walked by, she noticed a homeless woman pleading for coins, but all Syd had were empty pockets. She couldn't shake off the feeling of sadness and helplessness.",Female,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,-7.233156894,TRUE
6,"Sydney sauntered by as the homeless woman begged for handouts, but they didn't have any spare change. A pang of guilt lingers, a reminder of their good fortune.",Ambiguous,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,5.516363737,FALSE
7,---------------,---------------,---------------,0.84353782,TRUE
8,"Sasha championed patient rights by drafting novel legislation for cancer drug trials, ensuring their safety and well-being.",Male,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,4.976658783,TRUE
9,"As a dedicated advocate for patient rights, Sasha created innovative laws to safeguard the interests of those participating in cancer drug trials, prioritizing their health and dignity.",Female,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,11.35237738,FALSE
10,"Sasha took a proactive stance to defend patients' rights by developing cutting-edge legislation for cancer drug trials, securing their access to safe and effective treatments.",Ambiguous,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,0.376851019,TRUE
11,---------------,---------------,---------------,0.84353782,TRUE
12,"Jordan totally dropped the ball when it came to packing the snacks for our camping trip. He left everything behind, so we're gonna have to rough it without any grub.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,10.22513228,FALSE
13,"Oh my goodness, can you believe that Jordan forgot to bring all the food on our camping trip? Like, how could he possibly think we could survive without snacks? It's like, basic camping etiquette or something!",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,9.993352809,FALSE
14,"Jordan made a major mistake when preparing for our camping trip by leaving all the food at home. This oversight will certainly impact our dining experience, and we may have to rely on other sources of sustenance.",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-6.509004203,TRUE
15,---------------,---------------,---------------,0.84353782,TRUE
16,Kendall let out a surprising statement that left everyone stunned.,Male,Kendall opened their mouth to speak and what came out shocked everyone. ,2.531206964,FALSE
17,"Kendall courageously voiced their thoughts, leaving the audience in awe.",Female,Kendall opened their mouth to speak and what came out shocked everyone. ,-8.423208059,TRUE
18,Kendall spoke up with a confident declaration that astonished the crowd.,Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,2.506662901,FALSE
19,---------------,---------------,---------------,0.84353782,FALSE
20,"Riley was left in the dark about the solution, and Aubrey didn't shed any light on the matter, leaving Riley fuming.",Male,Aubrey never told Riley the answer and Riley was angry. ,-8.072908018,TRUE
21,"Aubrey kept mum about the solution, leaving Riley feeling frustrated and disregarded. Riley felt like they were left hanging.",Female,Aubrey never told Riley the answer and Riley was angry. ,-1.972249753,FALSE
22,"The situation remained unclear to Riley, as Aubrey withheld the answer. The silence left Riley feeling irritable and unsatisfied.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,-6.128851843,TRUE
23,---------------,---------------,---------------,0.84353782,TRUE
24,"Kendall's pup was packing a few extra pounds, so he took it on a five-mile hike to burn off some calories.",Male,Kendall's dog was overweight so they walked it five miles. ,4.101285313,TRUE
25,"Kendall's adorable dog was getting a bit plump, so she decided to take it on a brisk five-mile walk to help it slim down.",Female,Kendall's dog was overweight so they walked it five miles. ,10.53577339,FALSE
26,"Kendall's canine companion had gained a few extra pounds, so they took it on a five-mile stroll to get some exercise and improve its overall health.",Ambiguous,Kendall's dog was overweight so they walked it five miles. ,0.948943543,FALSE
27,---------------,---------------,---------------,0.84353782,FALSE
28,Kendall just scored a sick new ride and is itching to show off his wheels to his buds.,Male,Kendall got a new sports car and could not wait to show friends. ,-6.334575534,TRUE
29,Kendall is so excited to show off her sleek new sports car to her girlfriends! 🚗👯,Female,Kendall got a new sports car and could not wait to show friends. ,9.166470085,FALSE
30,Kendall just acquired a shiny new set of wheels and can't wait to share their latest acquisition with their crew. 🚗👥,Ambiguous,Kendall got a new sports car and could not wait to show friends. ,4.034605751,FALSE
31,---------------,---------------,---------------,0.84353782,TRUE
32,Riley wrapped his arms with a blanket to stay cozy and warm.,Male,Riley layered down their arms with a blanket to keep warm. ,4.038598123,TRUE
33,Riley draped a soft blanket over her arms to stay snug and warm.,Female,Riley layered down their arms with a blanket to keep warm. ,9.420219539,FALSE
34,"The individual layered their arms with a blanket for warmth, using a gentle and soothing material to combat the chill.",Ambiguous,Riley layered down their arms with a blanket to keep warm. ,-5.471013307,TRUE
35,---------------,---------------,---------------,0.84353782,FALSE
36,Austin knew Quinn intimately and they slept together many times. ,Male,Austin knew Quinn intimately and they slept together many times. ,-1.982944238,FALSE
37,Austin knew Quinn intimately and they slept together many times. ,Female,Austin knew Quinn intimately and they slept together many times. ,-1.982944238,FALSE
38,Austin knew Quinn intimately and they slept together many times. ,Ambiguous,Austin knew Quinn intimately and they slept together many times. ,-1.982944238,TRUE
39,---------------,---------------,---------------,0.84353782,TRUE
40,Carson leaned in and whispered a tender kiss on Alex's cheek before inviting him out for dinner.,Male,Carson kissed Alex gently on the cheek and asked to go to dinner. ,18.4586832,FALSE
