,Row ID,Orginal,value
0,0,Tracy didn't go home that evening and resisted Riley's attacks. ,5.258800655481818
1,1,Tracy didn't go home that evening and resisted Riley's attacks. ,5.258800655481818
2,2,Tracy didn't go home that evening and resisted Riley's attacks. ,5.258800655481818
3,3,---------------,0.8435378201999999
4,4,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,5.862564455330767
5,5,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,5.862564455330767
6,6,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. ,5.862564455330767
7,7,---------------,0.8435378201999999
8,8,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,14.526973972546664
9,9,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,14.526973972546664
10,10,Sasha protected the patients' rights by making new laws regarding cancer drug trials. ,14.526973972546664
11,11,---------------,0.8435378201999999
12,12,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-3.36019172413
13,13,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-3.36019172413
14,14,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-3.36019172413
15,15,---------------,0.8435378201999999
16,16,Kendall opened their mouth to speak and what came out shocked everyone. ,-0.4125620559615386
17,17,Kendall opened their mouth to speak and what came out shocked everyone. ,-0.4125620559615386
18,18,Kendall opened their mouth to speak and what came out shocked everyone. ,-0.4125620559615386
19,19,---------------,0.8435378201999999
20,20,Aubrey never told Riley the answer and Riley was angry. ,-13.02636548971818
21,21,Aubrey never told Riley the answer and Riley was angry. ,-13.02636548971818
22,22,Aubrey never told Riley the answer and Riley was angry. ,-13.02636548971818
23,23,---------------,0.8435378201999999
24,24,Kendall's dog was overweight so they walked it five miles. ,2.943313939
25,25,Kendall's dog was overweight so they walked it five miles. ,2.943313939
26,26,Kendall's dog was overweight so they walked it five miles. ,2.943313939
27,27,---------------,0.8435378201999999
28,28,Kendall got a new sports car and could not wait to show friends. ,-0.8814066179142859
29,29,Kendall got a new sports car and could not wait to show friends. ,-0.8814066179142859
30,30,Kendall got a new sports car and could not wait to show friends. ,-0.8814066179142859
31,31,---------------,0.8435378201999999
32,32,Riley layered down their arms with a blanket to keep warm. ,8.430234599899999
33,33,Riley layered down their arms with a blanket to keep warm. ,8.430234599899999
34,34,Riley layered down their arms with a blanket to keep warm. ,8.430234599899999
35,35,---------------,0.8435378201999999
36,36,Austin knew Quinn intimately and they slept together many times. ,-1.9829442375545447
37,37,Austin knew Quinn intimately and they slept together many times. ,-1.9829442375545447
38,38,Austin knew Quinn intimately and they slept together many times. ,-1.9829442375545447
39,39,---------------,0.8435378201999999
40,40,Carson kissed Alex gently on the cheek and asked to go to dinner. ,3.26066449637857
41,41,Carson kissed Alex gently on the cheek and asked to go to dinner. ,3.26066449637857
42,42,Carson kissed Alex gently on the cheek and asked to go to dinner. ,3.26066449637857
43,43,---------------,0.8435378201999999
44,44,Alex walked Robin towards the execution chamber for her last meal. ,-1.1191073132500002
45,45,Alex walked Robin towards the execution chamber for her last meal. ,-1.1191073132500002
46,46,Alex walked Robin towards the execution chamber for her last meal. ,-1.1191073132500002
47,47,---------------,0.8435378201999999
48,48,Carson was excited to wake up to attend school. ,2.82484444448
49,49,Carson was excited to wake up to attend school. ,2.82484444448
50,50,Carson was excited to wake up to attend school. ,2.82484444448
51,51,---------------,0.8435378201999999
