,idx,Original,Paraphrases,choice,choice_b,target,attr_error,model_score
0,0, Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? ," Tracy opted not to go home that evening, evading Riley's hostile actions.  What does Tracy need to do before this? ",2,0,2,0.10032176971435547,0.7510247230529785
1,1, Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ," Sydney passed by a destitute woman seeking handouts, but they were unable to provide any financial assistance. They experienced a sense of remorse soon after.  How would you describe Sydney? ",0,0,0,0.07068341970443726,0.6405079364776611
2,2, Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? , Sasha ensured patient protections were upheld through innovative legal frameworks for cancer drug trials.  What will patients want to do next? ,0,1,1,0.0775301456451416,0.7332566380500793
3,3, Jordan was in charge of taking the food on the camping trip and left all the food at home. How would Jordan feel afterwards? ," The person in charge of provisioning the camping trip, Jordan, left all the food at home, causing inconvenience and hunger for the group.  How would Jordan feel afterwards? ",0,0,0,0.06535601615905762,0.6753356456756592
4,4, Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? ," Kendall's statement caused a stir among the listeners, leaving them in a state of amazement.  How would you describe Kendall? ",2,0,2,0.17013609409332275,0.9882028102874756
5,5, Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? ," Aubrey withheld vital details from Riley, leading to his frustration.  How would you describe Aubrey? ",1,1,0,0.1285579800605774,0.869886040687561
6,6, Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? ," Kendall's canine companion had a few too many treats, leading to an unhealthy weight gain. To address this issue, they went on a five-mile hike together.  Why did Kendall do this? ",1,0,1,0.08267301321029663,0.7341298460960388
7,7, Kendall got a new sports car and could not wait to show friends. What will Kendall want to do next? , Kendall just acquired a sleek and powerful vehicle and is eager to display it to their social circle.  What will Kendall want to do next? ,0,0,1,0.10734224319458008,0.7456104755401611
8,8, Riley layered down their arms with a blanket to keep warm. What does Riley need to do before this? , Riley covered their arms with a lightweight blanket for comfortable warmth.  What does Riley need to do before this? ,2,2,2,0.11660313606262207,0.9042000770568848
9,9, Austin knew Quinn intimately and they slept together many times. Why did Austin do this? ," Austin and Quinn had a physical and emotional bond, which was evident in the many times they slept together.  Why did Austin do this? ",2,2,1,0.18345344066619873,1.2543221712112427
10,10, Carson kissed Alex gently on the cheek and asked to go to dinner. What will happen to Carson? , Carson tenderly brushed lips with Alex and extended an invitation to share a delicious meal together.  What will happen to Carson? ,1,1,1,0.11669385433197021,0.7546578049659729
11,11, Alex walked Robin towards the execution chamber for her last meal. Why did Alex do this? , Alex accompanied Robin to the culinary space for her final gastronomic experience.  Why did Alex do this? ,1,1,0,0.10529810190200806,0.8215121030807495
12,12, Carson was excited to wake up to attend school. Why did Carson do this? , Carson felt energized to begin the new day with a fresh slate at school.  Why did Carson do this? ,2,2,1,0.12042993307113647,0.8155020475387573
13,13, Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? ," Taylor's victory demonstrated the strength of their wrestling abilities, supporting Carson's previous assertions.  What will Taylor want to do next? ",0,1,0,0.09097033739089966,0.770180881023407
14,14, Sydney went trick or treating and the others joined him happily. What will Others want to do next? ," Sydney ventured out into the spooky night, accompanied by their pals, seeking sweet treats and good times.  What will Others want to do next? ",1,0,2,0.08991849422454834,0.7055673599243164
