,idx,Original,Paraphrases,choice,choice_b,target,attr_error,model_score
0,0, Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? , Tracy decided not to return home that evening and deflected Riley's attempts to initiate a conversation.  What does Tracy need to do before this? ,2,0,2,0.09035015106201172,0.7116962671279907
1,1, Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? ," Sydney strolled by a destitute woman requesting spare change, but was unable to provide any financial support. Later, Sydney experienced pangs of remorse for not being able to help.  How would you describe Sydney? ",0,0,0,0.08051669597625732,0.7196404337882996
2,2, Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? , Sasha took a firm stance on patient rights by formulating new regulations pertaining to clinical trials of cancer medications.  What will patients want to do next? ,1,1,1,0.07135647535324097,0.6861028671264648
3,3, Jordan was in charge of taking the food on the camping trip and left all the food at home. How would Jordan feel afterwards? ," My goodness gracious, it appears that Jordan was tasked with bringing the provisions for our camping excursion, but they seem to have misplaced everything. Oh well, there's always next time! 😊  How would Jordan feel afterwards? ",1,0,0,0.045558393001556396,0.4629175066947937
4,4, Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? , Kendall uttered some remarkable statements that took everyone by surprise.  How would you describe Kendall? ,2,0,2,0.15489929914474487,0.9512800574302673
5,5, Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? ," Aubrey withheld the answer from Riley, causing her to be quite displeased.  How would you describe Aubrey? ",1,1,0,0.13424980640411377,0.9165387153625488
6,6, Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? ," Kendall's furry friend was a tad too plump, so they went for a brisk five-mile walk to give it some exercise and improve its health.  Why did Kendall do this? ",1,0,1,0.10465168952941895,0.7560569643974304
7,7, Kendall got a new sports car and could not wait to show friends. What will Kendall want to do next? , Kendall has acquired a shiny new sports car and is thrilled to share it with her acquaintances.  What will Kendall want to do next? ,0,0,1,0.11703014373779297,0.8409854769706726
8,8, Riley layered down their arms with a blanket to keep warm. What does Riley need to do before this? , Riley carefully laid a blanket across their arms to maintain body heat.  What does Riley need to do before this? ,2,2,2,0.12031561136245728,0.9343966841697693
9,9, Austin knew Quinn intimately and they slept together many times. Why did Austin do this? , Austin had a deep connection with Quinn and they enjoyed each other's company on multiple occasions.  Why did Austin do this? ,2,2,1,0.17813706398010254,1.1782456636428833
10,10, Carson kissed Alex gently on the cheek and asked to go to dinner. What will happen to Carson? , Carson gently brushed his lips against Alex's check and suggested going out for an evening meal.  What will happen to Carson? ,1,1,1,0.10876405239105225,0.729297399520874
11,11, Alex walked Robin towards the execution chamber for her last meal. Why did Alex do this? , Alex steered Robin towards the death row dining hall for her final repast before she met her maker.  Why did Alex do this? ,1,1,0,0.11187171936035156,0.8503339290618896
12,12, Carson was excited to wake up to attend school. Why did Carson do this? ," Carson was thrilled to wake up and head off to school, full of anticipation for another productive day.  Why did Carson do this? ",0,2,1,0.14149999618530273,0.9478840827941895
13,13, Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? , Taylor's demonstration of her wrestling prowess certainly supported Carson's contention that she was the stronger wrestler.  What will Taylor want to do next? ,1,1,0,0.10419261455535889,0.8197907209396362
14,14, Sydney went trick or treating and the others joined him happily. What will Others want to do next? ," Sydney ventured out for a spooky Halloween excursion, accompanied by his delighted companions.  What will Others want to do next? ",1,0,2,0.10699135065078735,0.8282687664031982
15,15, Sasha set their trash on fire to get rid of it quickly. How would you describe Sasha? , Sasha put their trash in a fire to get rid of it promptly.  How would you describe Sasha? ,2,2,1,0.1719057559967041,1.0503813028335571
16,16, Robin dried up the paper and lit it on fire and it blew away. How would Robin feel afterwards? ," Back in my day, we didn't have all these fancy matches and lighters like they do now. No sir, we had to rely on good ol' fashioned fire starters like Robin did, and it was a mighty fine sight to see that paper blow away like smoke.  How would Robin feel afterwards? ",1,1,1,0.025711506605148315,0.30698108673095703
17,17, Skylar went camping with friends and found the best campsite. What does Skylar need to do before this? , Skylar went on a lovely camping trip with her pals and found a charming campsite that provided the perfect setting for their adventures. 🏕️👵  What does Skylar need to do before this? ,1,1,1,0.06133246421813965,0.5951530933380127
18,18," Due to his car breaking down, Robin decided to ride with Jan's friends to school. What will Robin want to do next? "," As Robin's car was in need of repairs, he accepted Jan's kind offer for a ride to school with her friends.  What will Robin want to do next? ",2,0,0,0.08971166610717773,0.7564620971679688
19,19, Cameron took Kai's compliment seriously after the ballgame ended. How would you describe Cameron? , Cameron was quite touched by Kai's thoughtful compliment following the conclusion of the ballgame.  How would you describe Cameron? ,0,0,0,0.1528327465057373,1.0333751440048218
20,20, Jordan taught art in elementary schools and was really great with his students. How would the parents feel as a result? ," Jordan was an exceptional art teacher in the elementary schools, and his students flourished under his guidance. His nurturing manner and ability to connect with young minds made him a beloved figure among both his students and their parents. 😊  How would the parents feel as a result? ",2,2,1,0.06437867879867554,0.690319299697876
21,21, Riley and the others were the best of friends and always supported each other. What will happen to Others? ," Riley and her chums were the best of pals, offering each other unwavering support and encouragement.  What will happen to Others? ",1,1,1,0.10689574480056763,0.7452743053436279
22,22, Taylor gave help to a friend who was having trouble keeping up with their bills. What will their friend want to do next? , Taylor selflessly lent a hand to their friend in need by providing guidance on managing their bills. This act of kindness demonstrates the importance of intergenerational relationships and the value of supporting one another through life's challenges. 🤝  What will their friend want to do next? ,1,1,1,0.06266915798187256,0.5650149583816528
23,23, Riley had twisted their leg and began to hurt so bad that they could not walk. What does Riley need to do before this? ," Riley has unfortunately sustained a rather serious injury to their leg, causing them a great deal of discomfort and limiting their mobility.  What does Riley need to do before this? ",2,0,1,0.0635380744934082,0.6074990630149841
24,24, Carson was at a friend's house but suddenly announced they needed to go home. Why did Carson do this? ," Carson was visiting a friend and then all of a sudden, they said they had to leave immediately.  Why did Carson do this? ",1,2,2,0.1323169469833374,0.9285885095596313
25,25, Taylor taught math in the schools after studying to be a teacher for four years. What does Taylor need to do before this? ," After dedicating four years to studying education, Taylor became a math teacher in the schools. Her extensive knowledge and experience have made her a valuable asset to the faculty, and she's passionate about helping her students succeed! 📝👵  What does Taylor need to do before this? ",0,2,0,0.0818244218826294,0.786112904548645
26,26, Tracy led their army and fought hard in the war until they sat upon the throne. How would you describe Tracy? ," Tracy demonstrated exceptional prowess as a military leader and fought fiercely throughout the conflict, ultimately resulting in their triumphant ascension to the throne.  How would you describe Tracy? ",2,2,2,0.07682478427886963,0.7249329090118408
27,27, Kendall watched baseball with his friends after working hard all week at his job. What will Kendall want to do next? , Kendall spent time with his pals after a tiring week at the office.  What will Kendall want to do next? ,1,1,1,0.09757429361343384,0.7158830761909485
28,28, kai was bored and had nothing to do so he played card games. What will Kai want to do next? ," Kai was feeling rather restless and had no particular activity in mind, so he opted to engage in some card games to fill the time.  What will Kai want to do next? ",2,2,2,0.09124261140823364,0.7254310250282288
29,29," Robin changed Aubrey into clean clothes, so they can both go to the big play. What will Robin want to do next? "," Robin helpfully transformed Aubrey into presentable garments, enabling them to both grace the big event with dignity. 👩‍🏫  What will Robin want to do next? ",2,2,0,0.07447665929794312,0.6710212826728821
30,30, Kendall wrapped string around my neck to measure the collar of a shirt. What will Others want to do next? ," Oh my stars, Kendall had to use a piece of string to measure the collar of her shirt? Well, bless her heart! She's so meticulous, that one. I remember when I was her age... 🙄😂  What will Others want to do next? ",1,1,0,0.06767386198043823,0.621048629283905
31,31, Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. How would Kai feel as a result? ," Aubrey presented the gift to Kai's acquaintance, and Kai had hoped that she would be the one to get it.  How would Kai feel as a result? ",1,1,1,0.1161642074584961,0.8435152769088745
32,32, jan took them to NYC so that they could experience the city for the first time. What will Others want to do next? , Jan graciously escorted them to New York City so they could encounter the vibrant urban life for the very first time. 👴🏻👵🏻  What will Others want to do next? ,0,0,0,0.0792243480682373,0.6418145298957825
33,33, Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. Why did Tracy do this? ," Tracy had a mighty tantrum on the sofa while viewing the History Channel as they made a number of mistakes, which she found quite vexing.  Why did Tracy do this? ",0,1,1,0.07503044605255127,0.7278542518615723
34,34, carson hated lee and his family so he took the risk to injure lee. How would you describe Carson? ," Carson was consumed by resentment towards Lee and his kin, prompting him to take a dangerous action with the intention of causing harm to Lee.  How would you describe Carson? ",1,1,1,0.0985727310180664,0.8235374689102173
35,35, Robin stayed outside and tried to finish the game of volleyball she was playing. How would Robin feel afterwards? ," Robin decided to complete her volleyball game despite being outside, displaying her perseverance and love for the activity.  How would Robin feel afterwards? ",2,2,2,0.08458113670349121,0.7201521396636963
36,36, Carson returned to Robin's house after previously storming out during a huge fight. How would Carson feel afterwards? , Carson became quite agitated and departed Robin's residence following a fierce confrontation.  How would Carson feel afterwards? ,1,1,1,0.12250828742980957,0.9736677408218384
37,37, Robin didn't know why she was having bad luck but found the answer. How would Robin feel afterwards? ," Robin was perplexed by her run of bad luck, but eventually, she stumbled upon the explanation for her misfortunes.  How would Robin feel afterwards? ",1,1,1,0.09571892023086548,0.762657880783081
38,38, Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. How would Jordan's son feel as a result? ," Jordan's grandson was rapidly outgrowing his footwear, so Jordan took him to the shoe shop for a new pair.  How would Jordan's son feel as a result? ",2,2,2,0.10041886568069458,0.859413743019104
39,39, ash was cut short even though everyone wanted to hear what ash had to say. What will happen to Others? ," Ash's words were sadly interrupted before he could finish speaking, leaving everyone wanting more.  What will happen to Others? ",2,2,2,0.08879071474075317,0.7533767223358154
40,40, Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. What will happen to Jordan? , Jordan was engaging in a discussion with a circle of acquaintances and whispered some information about Ash to gain their acceptance.  What will happen to Jordan? ,2,2,2,0.05716872215270996,0.5833680629730225
41,41, jordan wanted to be nice to a girl so he took her to the shoe store. What does Jordan need to do before this? ," Jordan was kind and considerate towards the young lady, taking her to the shoe store to select a nice pair of shoes that would make her happy.  What does Jordan need to do before this? ",2,2,1,0.06869828701019287,0.712986946105957
42,42, Aubrey understood Remy better and met his needs more efficiently as his nurse. How would Remy feel as a result? , Aubrey demonstrated a remarkable ability to comprehend Remy's requirements and provide excellent care as his nurse. Her dedication was truly admirable. 🙏  How would Remy feel as a result? ,1,1,1,0.06941503286361694,0.6630859375
43,43, Aubrey kept the baby up at night to watch for a concussion. What will happen to Aubrey? ," Aubrey kept a close watch on the baby through the night, worried that they might have suffered a concussion and needing to take appropriate action.  What will happen to Aubrey? ",2,2,1,0.09657031297683716,0.8268257975578308
44,44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? ," Robin carefully obscured Riley's vision of the suggestive scene in the movie, sparing her the embarrassment and potential distress that such content might cause.  How would Riley feel as a result of this? ",2,1,1,0.06764310598373413,0.6921026706695557
45,45, Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. What does Quinn need to do before this? , Quinn lovingly enfolded Jordan in their arms before delicately offering them a special present that they had been concealing.  What does Quinn need to do before this? ,1,1,0,0.09841024875640869,0.7909976243972778
46,46, Bailey passed Jesse on his driving examination after he passed with flying colors. What does Bailey need to do before this? ," Bailey passed his driver's test with distinction, leaving Jesse in the dust.  What does Bailey need to do before this? ",2,0,0,0.1355113983154297,0.8890453577041626
