,idx,Original,Paraphrases,choice,choice_b,target,attr_error,model_score
500,500, Cameron shook Carson's head because he didn't believe the story. How would you describe Cameron? ," Cameron questioned the veracity of Carson's account, causing them to shake their head in doubt.  How would you describe Cameron? ",1,1,2,0.1678173542022705,1.0917136669158936
501,501, Lee solved the world's water problem when he invented a new pump. What does Lee need to do before this? , The introduction of Lee's groundbreaking pump has drastically improved our ability to manage water resources and overcome the challenges posed by water scarcity.  What does Lee need to do before this? ,1,1,1,0.0674859881401062,0.7196193933486938
502,502," After the interview went well, Carson shook Jan's hand again. How would Carson feel afterwards? "," The interview went smoothly, and Carson reiterated their trust in Jan with a friendly handshake.  How would Carson feel afterwards? ",1,1,1,0.11571449041366577,0.9498913884162903
503,503, Jesse asked Addison's friends to go to the woods with him. What will Jesse want to do next? , Jesse extended an invitation to Addison's social circle to explore the great outdoors with him.  What will Jesse want to do next? ,0,0,0,0.08561873435974121,0.6946250200271606
504,504, Aubrey swam in the pool after eating a meal from mcdonald's recently. What does Aubrey need to do before this? , Aubrey recently engaged in an aquatic workout after consuming a satisfying meal from McDonald's.  What does Aubrey need to do before this? ,1,1,1,0.12287461757659912,0.9046231508255005
505,505, Bailey saved money because they wanted to buy something good. How would you describe Bailey? , Bailey accumulated funds for a coveted purchase.  How would you describe Bailey? ,1,1,1,0.16069906949996948,0.9600302577018738
506,506, Jan used Robin's approach on how to make money at the company. What will Robin want to do next? ," Jan leveraged Robin's technique to maximize financial gains within the organization, highlighting their collaborative approach to achieving goals.  What will Robin want to do next? ",0,0,2,0.07527226209640503,0.7075906991958618
507,507," Ash performed better after drinking coffee, but had to give it up due to acid reflux. What does Ash need to do before this? "," Ash noticed an enhancement in their performance after consuming coffee, however, the negative impact on their digestive system forced them to discontinue its use.  What does Ash need to do before this? ",0,0,2,0.05622410774230957,0.6652052402496338
508,508, Jan had to move to another city for work but always visited home for christmas. What will their parents want to do next? ," Jan had to transfer to another city for professional reasons, yet they always returned home for the festive season.  What will their parents want to do next? ",1,1,2,0.09744906425476074,0.7392623424530029
509,509, Aubrey was having a sleepover in Casey's but during the night Aubrey got sick and was throwing up in the bathroom so Casey called Aubrey's parents to collect Aubrey. What does Casey need to do before this? ," Aubrey was spending the night at Casey's place when they both got hit with a sudden stomach virus. Aubrey had to spend some quality time in the bathroom, if you know what I mean. Luckily, Casey is a responsible host and called Aubrey's parents to come pick them up.  What does Casey need to do before this? ",2,2,2,0.07498818635940552,0.7920512557029724
510,510," After getting a passport and plane tickets, Casey visited another country. What will Casey want to do next? "," Casey obtained the necessary travel documents and boarded a flight to a distant land, broadening their horizons and seeking new experiences.  What will Casey want to do next? ",1,1,1,0.06489282846450806,0.6007823348045349
511,511," Knowing that the assignments are part of the semester grade, Sydney took schoolwork seriously. How would Others feel as a result? "," Sydney, who was aware of the significant impact of their assignments on their semester grade, approach their studies with diligence and commitment, ensuring that each task was completed to the highest standard.  How would Others feel as a result? ",2,1,2,0.07392776012420654,0.7268043160438538
512,512, Robin wanted to go out for the night so she went with Jan and her friends. How would Jan feel as a result? ," Robin wanted to spice up her evening, so she accompanied Jan and their social circle for an exciting night out.  How would Jan feel as a result? ",1,1,1,0.10064154863357544,0.7387220859527588
513,513, Carson ate the candy Bailey gave them and it was really good. What does Carson need to do before this? , Carson savored the tasty confectionery Bailey offered them and it was incredibly delectable.  What does Carson need to do before this? ,0,0,0,0.10308349132537842,0.7607957720756531
514,514, Robin went to the polls and posted her ballot for the candidate she wanted. What will Robin want to do next? , Robin deposited their ballot for the preferred candidate into the ballot box at the polls.  What will Robin want to do next? ,1,2,2,0.11547493934631348,0.8501678705215454
515,515, Tracy went camping during the weekend because he wanted to get away. How would you describe Tracy? ," Tracy ventured into the wilderness for a peaceful getaway, seeking solitude and a break from urban routines.  How would you describe Tracy? ",1,1,1,0.1711806058883667,0.8655894994735718
516,516, Kai would fall down because they don't know how to properly ice skate. How would you describe Kai? ," Kai's lack of experience with ice skating could lead to difficulties on the rink, causing them to lose their balance and fall.  How would you describe Kai? ",2,2,2,0.0907394289970398,0.6891003847122192
517,517, It had been a long hard battle but now Riley laid down their arms. How would Riley feel afterwards? ," The intense struggle was over, and Riley released their grip on the weapons they had been holding onto so tightly.  How would Riley feel afterwards? ",2,2,1,0.10069644451141357,0.7776129841804504
518,518, Riley said it was better to go than to stay at the party. How would you describe Riley? , Riley hinted that it was time to move on from the gathering.  How would you describe Riley? ,2,2,2,0.10469502210617065,0.6337790489196777
519,519, Jesse was a new person who just started at Riley's work.  Riley had heard rumors that Jesse was hoping to get the management position that Riley secretly had their heart set on. What will Riley want to do next? , A new employee named Jesse was reportedly vying for the same leadership role that Riley had secretly desired.  What will Riley want to do next? ,0,0,1,0.058654189109802246,0.6003976464271545
520,520, Carson enjoyed sports and liked to watch the games. They collected baseball cards. What will Carson want to do next? , Carson found joy in sports and enjoyed observing matches and accumulating baseball cards.  What will Carson want to do next? ,2,2,2,0.13036316633224487,0.8927622437477112
521,521, Kai handed back the money when the cashier gave him too much change back. How would Others feel as a result? , The individual received an incorrect amount of change and willingly returned the excess funds to the cashier.  How would Others feel as a result? ,2,2,0,0.0721275806427002,0.6371994018554688
522,522, Austin decided to attend his law school reunion which was held last Saturday evening.  Austin enjoyed meeting up with former classmates. What does Austin need to do before this? ," Austin went to their law school reunion on Saturday night, where they reconnected with some familiar faces from their past. It was a great opportunity to share memories and laughter with former classmates.  What does Austin need to do before this? ",0,0,0,0.06572717428207397,0.5879810452461243
523,523, Jesse went a bit far when they were drinking at the bar. How would Jesse feel afterwards? , Jesse's antics at the bar last night left some patrons wondering if they had gone overboard.  How would Jesse feel afterwards? ,1,1,1,0.09015518426895142,0.6919785737991333
524,524, Quinn wore jeans the next day after being warned it violated the dress code. How would you describe Quinn? ," Quinn sported a pair of jeans on the subsequent day, disregarding the previous warning about the dress code infraction.  How would you describe Quinn? ",2,2,2,0.12769508361816406,0.9524109363555908
525,525, Bailey went away for a few weeks with family on a vacation and had a wonderful time on their trip. What will Bailey want to do next? ," Bailey took a break from daily life and set off with loved ones on an amazing getaway, filling their hearts with joy and their memories with delight.  What will Bailey want to do next? ",2,1,1,0.06156545877456665,0.579101026058197
526,526," Carson was trying to study for a big test, so Carson turned Sydney's music down. Why did Carson do this? "," During Carson's test prep, they tactfully inquired if Sydney could adjust the volume of their musical preferences to allow for a distraction-free environment.  Why did Carson do this? ",2,2,2,0.07575321197509766,0.7636073231697083
527,527, Robin walked the same route to school with Jan's friends. What will happen to Robin? ," Robin accompanied Jan's acquaintances on a casual trek to school, relishing the well-trodden way.  What will happen to Robin? ",2,2,2,0.12226814031600952,0.8396251797676086
528,528, Robin went with Jan's friends to the school carnival. What will Robin want to do next? , Robin accompanied Jan's social circle to the school festival and enjoyed the fun activities.  What will Robin want to do next? ,0,0,0,0.09592783451080322,0.7614631056785583
529,529, Jesse got the results for the test and got an A as a grade. Why did Jesse do this? , Jesse achieved an outstanding result on the test with an A grade.  Why did Jesse do this? ,2,2,2,0.12278801202774048,0.8249548673629761
530,530, Robin took the test quickly because they wanted to pass quickly with flying colors. What will Robin want to do next? ," The test-taker, Robin, completed the assessment rapidly with a focus on achieving high scores and demonstrating proficiency.  What will Robin want to do next? ",0,0,1,0.089572012424469,0.6925639510154724
531,531, Addison had finished a semester of school. They left for home. How would Addison feel afterwards? ," Addison wrapped up their semester and headed back to their place, ready to recharge and reflect on all they had learned.  How would Addison feel afterwards? ",0,0,0,0.09037214517593384,0.7038066387176514
532,532, Austin wrapped a belt around the waist of the bull rider. Why did Austin do this? ," The rider was secured with a sturdy belt, courtesy of Austin's skilled hands, as they readied themselves for the adrenaline-pumping bull ride.  Why did Austin do this? ",0,0,0,0.07286089658737183,0.7349731922149658
533,533, Tracy took Sydney to school after Sydney missed the school bus this morning. How would you describe Tracy? ," Tracy transported Sydney to school following the morning's bus mishap, demonstrating their responsible parenting.  How would you describe Tracy? ",2,0,2,0.19626092910766602,1.0484994649887085
534,534, Quinn afforded every nice meal after getting a substantial raise at work. What does Quinn need to do before this? , Quinn indulged in a series of luxurious dinners following a substantial increase in their remuneration at the office.  What does Quinn need to do before this? ,0,0,0,0.08247798681259155,0.7150406241416931
535,535, Kendall kept the ball rolling and asked the next contestant a question. Why did Kendall do this? , Kendall kept the show moving forward and threw out an engaging challenge to the next participant.  Why did Kendall do this? ,2,2,2,0.12692910432815552,0.8974586129188538
536,536, Quinn murders Remy's wife after Remy stole a lot of money from the family. How would Remy feel as a result? ," The situation escalates as Quinn takes matters into their own hands and eliminates Remy's wife, a victim of her husband's greed and deception.  How would Remy feel as a result? ",2,2,2,0.05871373414993286,0.5920833945274353
537,537, Taylor caught their boyfriend sending texts to another girl. What will Taylor want to do next? , Taylor found out their partner was messaging someone else behind their back.  What will Taylor want to do next? ,2,2,2,0.09494554996490479,0.7943875789642334
538,538," Riley told her dog Lee to ""stay"" so he didn't follow her down the street. Why did Riley do this? "," Riley requested that Lee remain in place, avoiding a potential chase after her as she navigated the streets.  Why did Riley do this? ",2,2,2,0.1046295166015625,0.8406195640563965
539,539, Kendall bought anything required because they knew that failure wasn't an option. How would you describe Kendall? ," Kendall procured the essential supplies, knowing that failure was not a viable choice.  How would you describe Kendall? ",0,2,1,0.13180828094482422,0.8220171928405762
540,540," During the speech, Remy gave Casey's interpretation of the situation to the guests. What does Remy need to do before this? ", Remy relayed Casey's analysis of the scenario to the audience during their conversation.  What does Remy need to do before this? ,1,0,0,0.10233938694000244,1.0051207542419434
541,541, Robin took a very long time to clean the windows of her house. How would you describe Robin? , Robin devoted an inordinate amount of time to polishing the glass surfaces of their living space.  How would you describe Robin? ,1,1,1,0.15700995922088623,0.924284815788269
542,542," Whenever opportunity arises, Riley prefers driving himself to any destination. He just makes sure he studies the map carefully with the aid of the GPS. Why did Riley do this? "," Riley prefers to navigate to their destination independently, utilizing a reliable GPS for support.  Why did Riley do this? ",0,0,1,0.052116990089416504,0.5054163932800293
543,543, Bailey was a fast learner. How would you describe Bailey? , Bailey demonstrated exceptional learning abilities and quickly mastered new tasks.  How would you describe Bailey? ,2,1,2,0.19039511680603027,1.1069293022155762
544,544, Sasha worked as a nurse and often stepped in and protected patients rights. What will happen to the patients? ," Sasha, a passionate healthcare professional, assertively safeguarded patients' rights and interests while providing top-notch care.  What will happen to the patients? ",0,0,1,0.05554461479187012,0.5911394357681274
545,545, Jesse ate their cereal and didn't leave any for everyone else. How would you describe Jesse? , Jesse finished their breakfast and didn't save any for their fellow diners.  How would you describe Jesse? ,2,2,1,0.10687553882598877,0.6124812960624695
546,546," While at summer camp, Remy had a ton of fun and made more friends. How would Remy feel afterwards? "," During their summer camp adventure, Remy enjoyed a diverse range of activities and formed meaningful connections with their peers.  How would Remy feel afterwards? ",0,2,2,0.05849790573120117,0.5921411514282227
547,547, Ash made a mistake but then they redeemed themselves. Why did Ash do this? ," Ash encountered an obstacle, but they overcame it with aplomb.  Why did Ash do this? ",1,2,2,0.13049936294555664,0.9178941249847412
548,548, Alex was wondering how to send the document to Bailey. Bailey told Alex to send the pdf. How would Bailey feel afterwards? , Alex was unsure about how to forward the file to Bailey. Bailey advised Alex to send the digital version of the document via email.  How would Bailey feel afterwards? ,1,1,1,0.08049750328063965,0.8501124382019043
549,549, Robin left the food so that the cats would have something to eat. Why did Robin do this? ," Robin deliberately left food available for the cats, ensuring their hunger was satisfied.  Why did Robin do this? ",0,0,0,0.1129840612411499,0.8892549276351929
550,550, Alex paid attention to the details and answered the trick question on their science exam correctly. How would Alex feel afterwards? , The examinee demonstrated a keen eye for details and provided an accurate answer to the complex question on their science exam.  How would Alex feel afterwards? ,2,2,2,0.06607300043106079,0.6153773665428162
551,551, Ash did know how to react so he accepted Alex's invitation. What will happen to Alex? ," Ash decided to take a chance and accept Alex's invitation, hoping for a positive outcome.  What will happen to Alex? ",0,0,0,0.1326436996459961,0.8981859683990479
552,552, Tracy crowded around the group to tell them her funny story. What will Tracy want to do next? , Tracy enthusiastically approached the group with a humorous anecdote to share.  What will Tracy want to do next? ,2,2,1,0.09458249807357788,0.7612382769584656
553,553, Lee is great on remembering difficult numbers or is he . What will Lee want to do next? , Lee's ability to remember complex numbers is truly impressive.  What will Lee want to do next? ,2,2,2,0.12086528539657593,0.855350136756897
554,554, Jan was new to the neighborhood and went out running one morning. Jan found new friends in the neighborhood on her run. How would Others feel as a result? ," Jan wanted to get familiar with the local scene and went on a solo run one morning. They encountered some friendly folks along the way, and before long, had made some new pals.  How would Others feel as a result? ",2,2,2,0.06576889753341675,0.6447003483772278
555,555, Kendall wrapped a bandage around my neck after getting injured in a fight. What will Kendall want to do next? , Kendall applied a bandage to my neck following an accident that occurred while I was engaged in hand-to-hand combat.  What will Kendall want to do next? ,2,2,2,0.09666526317596436,0.8508214950561523
556,556, Cameron won last year's race by a nose. This year Cameron trained extra hard for the race. Why did Cameron do this? ," Last year's race was neck and neck, with Cameron crossing the finish line just barely ahead of the pack. With a renewed commitment to training, they're looking to repeat their success this year.  Why did Cameron do this? ",0,1,1,0.05368596315383911,0.5430464744567871
