,idx,Original,Paraphrases,choice,choice_b,target,attr_error,model_score
1500,1500, Tracy's hobby is woodworking. Tracy built things like baby cribs for the poor in their community. How would you describe Tracy? , Tracy is super skilled at woodworking and makes awesome things like baby cribs for people in need. She's all about giving back to her community!  How would you describe Tracy? ,2,2,2,0.06486499309539795,0.674000084400177
1501,1501, Casey saw Aubrey stealing form the store and so she called Aubrey's parents. How would Casey feel afterwards? , Casey saw Aubrey swiping items from the store and so she dialed Aubrey's parents to tell them what was up.  How would Casey feel afterwards? ,2,2,2,0.10387450456619263,0.844282329082489
1502,1502," Seeing that she was very nice and friendly, Jan made friends with Taylor. What will Jan want to do next? ", Jan totally hit it off with Taylor - they were like totes besties from the get-go! 💕  What will Jan want to do next? ,0,2,0,0.10942733287811279,0.7665843963623047
1503,1503, Kai was good at cake decorating and made a career out of it. How would Kai feel afterwards? , Kai totally rocked the cake decorating game and turned it into a full-time gig!  How would Kai feel afterwards? ,1,1,0,0.1288650631904602,0.911862313747406
1504,1504, Bailey had left all their toys out and their room was a mess. What will Others want to do next? , Bailey had totally left all their toys scattered everywhere and their room was a total disaster!  What will Others want to do next? ,0,0,0,0.07836949825286865,0.7182787656784058
1505,1505," Austin offered Sydney a position as sales manager, but at lower pay than other workers. How would Sydney feel as a result? "," Austin was like, ""Hey Sydney, I've got a sick job opportunity for you as sales manager, but it's gonna pay less than what other peeps are making.  How would Sydney feel as a result? ",0,1,1,0.1059640645980835,0.8395146131515503
1506,1506, Carson was at his friend's house for a birthday party. What will happen to the friends? , Carson was hanging out at his buddy's crib for his birthday bash!  What will happen to the friends? ,1,1,1,0.129033625125885,0.8402062058448792
1507,1507, Jordan volunteered at a charity for children's welfare. How would you describe Jordan? , Jordan totally rocked her volunteer gig at that dope children's charity! She gave back to the community and made a real difference in kids' lives.  How would you describe Jordan? ,1,1,1,0.058034420013427734,0.6233162879943848
1508,1508, Skylar stubbed his toe and cursed right afterwards. Cameron turned to look at him and make sure he was okay. Why did Cameron turn to look at Skylar? ," Skylar totally freaked out when he stubbed his toe and let out a major curse word right away. Cameron was like, ""Yo, you good?"" to check if he was okay.  Why did Cameron turn to look at Skylar? ",0,0,1,0.06070137023925781,0.6555655598640442
1509,1509," Although Aubrey was older and stronger, they lost to Alex in arm wrestling. How would Alex feel as a result? "," Even though Aubrey was way older and totally ripped, they got beat by Alex in an arm-wrestling match.  How would Alex feel as a result? ",2,2,2,0.10587495565414429,0.8855664134025574
1510,1510, Riley had just got home from the grocery store. Riley went and made chicken in the kitchen. Why did Riley do this? , Riley just got home from the grocery store and whipped up some bomb chicken in the kitchen!  Why did Riley do this? ,1,1,0,0.11786580085754395,0.9367034435272217
1511,1511, Alex left Robin's side so she could go make a phone call. What will Alex want to do next? , Alex bailed on Robin to hit up the bathroom and make a quick call.  What will Alex want to do next? ,0,2,0,0.08691352605819702,0.7973071932792664
1512,1512, Austin batted his eyelashes when he met his blind date at the restaurant. How would you describe Austin? , Austin was totally flirty when he met his blind date at the restaurant - he even batted his eyelashes!  How would you describe Austin? ,0,0,0,0.19981884956359863,1.1977877616882324
1513,1513, Riley regarded Jesse with suspicious eyes. Jesse had betrayed Riley before and Riley never forgot. How would Riley feel afterwards? ," Riley gave Jesse the side-eye, like they were plotting something together. Jesse had burned Riley before, and Riley still hadn't forgiven them.  How would Riley feel afterwards? ",0,0,0,0.07870763540267944,0.837690532207489
1514,1514, Robin went with Jan's friends to school so Jan could rest at home from being ill. What will happen to Jan? , Robin ditched school with Jan's homies so she could chill at home and get better from being sick.  What will happen to Jan? ,2,0,0,0.13148248195648193,0.8799868822097778
1515,1515, Jesse couldn't wait to get back because he had a new video game to play. How would you describe Jesse? , Jesse was super hyped to get back home so he could finally play his new video game! 😍  How would you describe Jesse? ,0,0,0,0.1418623924255371,0.8079226016998291
1516,1516, Alex rendered Sasha's service for the catering he needed and Sasha failed to deliver any of the food they ordered. What will happen to Alex? ," Alex got Sasha to do the catering for his event, but Sasha totally dropped the ball and didn't bring any of the food they were supposed to provide.  What will happen to Alex? ",0,0,1,0.058839619159698486,0.6701629161834717
1517,1517, Lee left a mess upon Ash after shaking the soda can and opening it in Ash's face. How would you describe Lee? , Young (<20),1,1,1,0.006378503516316414,0.007254175841808319
1518,1518, Quinn enjoyed the book after being told they were not going to like it. What will happen to Quinn? ," Quinn was totally into the book, even though their friends said they wouldn't dig it.  What will happen to Quinn? ",0,0,0,0.12864303588867188,0.8280624151229858
1519,1519, Sasha kept the baby and started applying for jobs. What will Sasha want to do next? , Sasha held onto the baby and started job hunting.  What will Sasha want to do next? ,0,0,2,0.09992736577987671,0.7796739339828491
1520,1520, Tracy wore Sydney's jacket to school without asking for permission. How would you describe Tracy? , Tracy rocked Sydney's jacket to school without getting permission first.  How would you describe Tracy? ,0,0,0,0.11963188648223877,0.8464517593383789
1521,1521, Lee wore a jacket because it was winter and it was cold. Why did Lee do this? , Lee rocked a sick jacket because it was winter and cold AF.  Why did Lee do this? ,2,2,2,0.15158367156982422,1.182868242263794
1522,1522, Alex had a hard labor and after many complications gave birth to Sasha. What will happen to Sasha? , Alex went through a really tough time during childbirth and eventually delivered a healthy baby girl named Sasha.  What will happen to Sasha? ,0,0,0,0.12583905458450317,0.9712082743644714
